路線番号,pattern_id,n_speeds,max_run
311,14038,1,1
311,14133,1,1
311,14134,1,1
311,14135,2,2
311,14136,2,2
311,14137,2,1
311,14138,2,1
311,14139,2,1
311,14140,1,1
311,14141,1,1
311,14142,1,1
311,14143,1,1
311,14144,1,1
311,14145,1,1
311,14146,1,1
311,14147,1,1
311,14148,1,1
311,14149,1,1
311,14150,1,1
311,14151,1,1
311,14152,1,1
311,14153,1,1
311,14154,1,1
311,14155,1,1
311,14156,1,1
311,14157,1,1
311,14158,1,1
311,14159,1,1
311,14160,1,1
311,14161,1,1
311,14162,1,1
311,14163,1,1
311,14164,1,1
311,14165,1,1
311,14166,1,1
311,14167,1,1
311,14234,1,1
311,14235,1,1
311,14236,2,2
311,14237,2,2
311,14238,2,1
311,14239,2,1
311,14240,2,1
311,14241,1,1
311,14242,1,1
311,14243,1,1
311,14244,1,1
311,14245,1,1
311,14246,1,1
311,14247,1,1
311,14248,1,1
311,14249,1,1
311,14250,1,1
311,14251,1,1
311,14252,1,1
311,14253,1,1
311,14254,1,1
311,14255,1,1
311,14256,1,1
311,14257,1,1
311,14258,1,1
311,14259,1,1
311,14260,1,1
311,14261,1,1
311,14262,1,1
311,14263,1,1
311,14264,1,1
311,14265,1,1
311,14266,1,1
311,14267,1,1
311,14268,1,1
311,14335,1,1
311,14336,1,1
311,14337,2,2
311,14338,3,3
311,14339,3,2
311,14340,3,2
311,14341,3,2
311,14342,2,2
311,14343,2,2
311,14344,2,2
311,14345,2,2
311,14346,2,2
311,14347,2,2
311,14348,2,2
311,14349,2,2
311,14350,2,2
311,14351,2,2
311,14352,2,2
311,14353,2,2
311,14354,2,2
311,14355,2,2
311,14356,2,2
311,14357,2,2
311,14358,2,2
311,14359,2,2
311,14360,2,2
311,14361,2,2
311,14362,2,2
311,14363,2,2
311,14364,2,2
311,14365,2,2
311,14366,2,2
311,14367,2,2
311,14368,2,2
311,14369,2,2
311,14370,1,1
311,14436,1,1
311,14437,1,1
311,14438,2,2
311,14439,3,3
311,14440,3,2
311,14441,3,2
311,14442,3,2
311,14443,2,2
311,14444,2,2
311,14445,2,2
311,14446,2,2
311,14447,2,2
311,14448,2,2
311,14449,2,2
311,14450,2,2
311,14451,2,2
311,14452,2,2
311,14453,2,2
311,14454,2,2
311,14455,2,2
311,14456,2,2
311,14457,2,2
311,14458,2,2
311,14459,2,2
311,14460,2,2
311,14461,2,2
311,14462,2,2
311,14463,2,2
311,14464,2,2
311,14465,2,2
311,14466,2,2
311,14467,2,2
311,14468,2,2
311,14469,2,2
311,14470,2,2
311,14471,1,1
311,14537,1,1
311,14538,1,1
311,14539,2,2
311,14540,3,3
311,14541,4,4
311,14542,4,4
311,14543,4,4
311,14544,3,3
311,14545,3,3
311,14546,3,3
311,14547,3,3
311,14548,3,3
311,14549,3,3
311,14550,3,3
311,14551,3,3
311,14552,3,3
311,14553,3,3
311,14554,3,3
311,14555,3,3
311,14556,3,3
311,14557,3,3
311,14558,3,3
311,14559,3,3
311,14560,3,3
311,14561,3,3
311,14562,3,3
311,14563,3,3
311,14564,3,3
311,14565,3,3
311,14566,3,3
311,14567,3,3
311,14568,3,3
311,14569,3,3
311,14570,3,3
311,14571,3,3
311,14572,2,2
311,14573,1,1
311,14640,1,1
311,14641,2,2
311,14642,3,3
311,14643,3,3
311,14644,3,3
311,14645,3,3
311,14646,3,3
311,14647,3,3
311,14648,3,3
311,14649,3,3
311,14650,3,3
311,14651,3,3
311,14652,3,3
311,14653,3,3
311,14654,3,3
311,14655,3,3
311,14656,3,3
311,14657,3,3
311,14658,3,3
311,14659,3,3
311,14660,3,3
311,14661,3,3
311,14662,3,3
311,14663,3,3
311,14664,3,3
