route_id,V_kmh,FTT_s_per_veh,TT_s_per_veh
D10_H04,42.5,43.31294117647059,74.37176470588219
D10_H04,45.0,40.906666666666666,69.81333333333326
D10_H04,47.5,38.75368421052632,65.50736842105265
D10_H04,50.0,36.816,61.631999999999564
D10_H05,10.0,175.92,
D10_H05,12.5,140.736,
D10_H05,15.0,117.28,
D10_H05,17.5,100.52571428571429,
D10_H05,20.0,87.96,130.38000152587892
D10_H05,22.5,78.18666666666667,120.37333333333312
D10_H05,25.0,70.368,104.73599999999972
D10_H05,27.5,63.97090909090909,94.51636363636364
D10_H05,30.0,58.63999999999999,90.64
D10_H05,32.5,54.12923076923077,87.35999999999984
D10_H05,35.0,50.26285714285714,84.5485714285714
D10_H05,37.5,46.912,81.82400000000004
D10_H05,40.0,43.98,75.96000000000002
D10_H05,42.5,41.392941176470586,70.78588235294114
D10_H05,45.0,39.09333333333333,66.1866666666667
D10_H05,47.5,37.03578947368421,62.07157894736835
D10_H05,50.0,35.184,60.0
D10_H06,10.0,180.0,
D10_H06,12.5,143.99999999999997,
D10_H06,15.0,119.99999999999996,
D10_H06,17.5,102.85714285714285,
D10_H06,20.0,90.0,132.0
D10_H06,22.5,79.99999999999999,120.0
D10_H06,25.0,71.99999999999999,107.99999999999976
D10_H06,27.5,65.45454545454545,94.9090909090907
D10_H06,30.0,59.99999999999999,85.35999999999977
D10_H06,32.5,55.38461538461539,82.48615384615384
D10_H06,35.0,51.42857142857142,80.02285714285722
D10_H06,37.5,48.0,77.88800019073484
D10_H06,40.0,45.0,76.02
D10_H06,42.5,42.35294117647059,72.70588235294099
D10_H06,45.0,39.99999999999999,68.0
D10_H06,47.5,37.89473684210526,63.78947368421036
D10_H06,50.0,35.99999999999999,59.99999999999988
D10_H07,10.0,180.0,
D10_H07,12.5,144.0,
D10_H07,15.0,120.0,
D10_H07,17.5,102.85714285714286,
D10_H07,20.0,90.0,132.00000190734863
D10_H07,22.5,80.0,123.51999999999995
D10_H07,25.0,72.0,108.0
D10_H07,27.5,65.45454545454545,94.90909090909084
D10_H07,30.0,59.99999999999999,90.64
D10_H07,32.5,55.384615384615394,87.35999999999977
D10_H07,35.0,51.42857142857143,84.54857142857145
D10_H07,37.5,48.0,82.1120000000001
D10_H07,40.0,45.0,78.0
D10_H07,42.5,42.35294117647059,72.70588235294078
D10_H07,45.0,40.0,68.0
D10_H07,47.5,37.89473684210526,63.78947368421036
D10_H07,50.0,36.0,60.0
D30_311,10.0,288.0,
D30_311,12.5,230.4,
D30_311,15.0,192.0,
D30_311,17.5,164.57142857142858,
D30_311,20.0,144.0,180.0
D30_311,22.5,128.0,176.0000038146973
D30_311,25.0,115.2,168.0
D30_311,27.5,104.72727272727272,154.909090909091
D30_311,30.0,96.0,144.0
D30_311,32.5,88.61538461538463,129.2307692307692
D30_311,35.0,82.28571428571429,123.9428601946146
D30_311,37.5,76.80000000000001,117.5999999999998
D30_311,40.0,72.0,108.0
D30_311,42.5,67.76470588235294,99.52941176470544
D30_311,45.0,64.0,92.0
D30_311,47.5,60.63157894736842,85.894736842105
D30_311,50.0,57.6,84.00000152587894
D30_312,10.0,360.0,
D30_312,12.5,288.0,
D30_312,15.0,240.0,
D30_312,17.5,205.7142857142857,
D30_312,20.0,180.0,180.0
D30_312,22.5,160.0,180.0
