,Time,VID,Type,Pos.x,Pos.y
7922198,15:00:10,34590,I_09_1204235410404,139.939068,35.900637
7922199,15:00:10,34622,I_09_1204235410404,139.939132,35.900558
7922200,15:00:10,34582,I_09_1204235410404,139.939214,35.900458
7922207,15:00:10,34471,I_09_1204235410404,139.941799,35.896133
7922208,15:00:10,34472,I_09_1204235410404,139.941772,35.896188
7922209,15:00:10,34451,I_09_1204235410404,139.941744,35.896243
7922210,15:00:10,34405,I_09_1204235410419,139.941691,35.896351
7922211,15:00:10,34398,I_09_1204235410419,139.941636,35.896462
7922212,15:00:10,33762,I_09_1204235410404,139.94159,35.896553
7922213,15:00:10,34072,I_09_1204235410404,139.943539,35.896846
7922220,15:00:10,33933,I_09_1204235410404,139.949558,35.895735
7922221,15:00:10,33944,I_09_1204235410404,139.949558,35.895735
7922222,15:00:10,33895,I_09_1204235410404,139.949598,35.895502
7922242,15:00:10,34543,I_09_1204235410404,139.946762,35.898174
7922243,15:00:10,34279,I_09_1204235410499,139.946344,35.898123
7922244,15:00:10,34548,I_09_1204235410404,139.94597,35.897985
7922278,15:00:10,33831,I_09_1204235410404,139.949487,35.897564
7922279,15:00:10,33817,I_09_1204235410404,139.94872,35.898007
7922280,15:00:10,33792,I_09_1204235410404,139.949072,35.897968
7922297,15:00:10,34554,I_09_1204235410419,139.94827,35.898056
7922298,15:00:10,33768,I_09_1204235410404,139.947933,35.898091
7922299,15:00:10,34462,I_09_1204235410404,139.947312,35.898151
7922300,15:00:10,33771,I_09_1204235410404,139.94887,35.89799
7922406,15:00:11,34452,I_09_1204235410404,139.939286,35.900369
7922407,15:00:11,33757,I_09_1204235410404,139.939146,35.90054
7922408,15:00:11,34569,I_09_1204235410404,139.939065,35.90064
7922409,15:00:11,34565,I_09_1204235410404,139.939259,35.900403
7922410,15:00:11,34645,I_09_1204235410404,139.939466,35.900148
7922411,15:00:11,34630,I_09_1204235410419,139.939984,35.899478
7922412,15:00:11,34567,I_09_1204235410404,139.940146,35.899249
7922413,15:00:11,34590,I_09_1204235410404,139.939065,35.90064
7922414,15:00:11,34622,I_09_1204235410404,139.939117,35.900576
7922415,15:00:11,34582,I_09_1204235410404,139.939188,35.90049
7922421,15:00:11,34471,I_09_1204235410404,139.941799,35.896133
7922422,15:00:11,34472,I_09_1204235410404,139.941772,35.896188
7922423,15:00:11,34451,I_09_1204235410404,139.941744,35.896243
7922424,15:00:11,34405,I_09_1204235410419,139.941691,35.896351
7922425,15:00:11,34398,I_09_1204235410419,139.941636,35.896462
7922426,15:00:11,33762,I_09_1204235410404,139.94159,35.896553
7922427,15:00:11,34072,I_09_1204235410404,139.943416,35.896788
7922434,15:00:11,33933,I_09_1204235410404,139.949543,35.895824
7922435,15:00:11,33944,I_09_1204235410404,139.949543,35.895824
7922436,15:00:11,33895,I_09_1204235410404,139.949583,35.895591
7922455,15:00:11,34543,I_09_1204235410404,139.946873,35.898177
7922456,15:00:11,34279,I_09_1204235410499,139.946453,35.898146
7922457,15:00:11,34548,I_09_1204235410404,139.946071,35.898031
7922492,15:00:11,33831,I_09_1204235410404,139.949477,35.897472
7922493,15:00:11,33817,I_09_1204235410404,139.948581,35.898022
7922494,15:00:11,33792,I_09_1204235410404,139.948942,35.897982
7922512,15:00:11,34554,I_09_1204235410419,139.948409,35.898041
7922513,15:00:11,33768,I_09_1204235410404,139.948076,35.898077
7922514,15:00:11,34462,I_09_1204235410404,139.947457,35.898137
7922515,15:00:11,33771,I_09_1204235410404,139.948963,35.89798
7922620,15:00:12,34452,I_09_1204235410404,139.939349,35.900291
7922621,15:00:12,33757,I_09_1204235410404,139.9392,35.900474
7922622,15:00:12,33753,I_09_1204235410404,139.939074,35.900629
7922623,15:00:12,34569,I_09_1204235410404,139.939065,35.90064
7922624,15:00:12,34565,I_09_1204235410404,139.939215,35.900456
7922625,15:00:12,34645,I_09_1204235410404,139.939398,35.900231
7922626,15:00:12,34630,I_09_1204235410419,139.939915,35.899572
7922627,15:00:12,34567,I_09_1204235410404,139.940081,35.899346
7922628,15:00:12,34590,I_09_1204235410404,139.939065,35.90064
7922629,15:00:12,34622,I_09_1204235410404,139.939109,35.900586
7922630,15:00:12,34582,I_09_1204235410404,139.939169,35.900513
7922636,15:00:12,34471,I_09_1204235410404,139.941799,35.896133
7922637,15:00:12,34472,I_09_1204235410404,139.941772,35.896188
7922638,15:00:12,34451,I_09_1204235410404,139.941744,35.896243
7922639,15:00:12,34405,I_09_1204235410419,139.941691,35.896351
7922640,15:00:12,34398,I_09_1204235410419,139.941636,35.896462
7922641,15:00:12,33762,I_09_1204235410404,139.94159,35.896553
7922642,15:00:12,34072,I_09_1204235410404,139.943292,35.89673
7922649,15:00:12,33933,I_09_1204235410404,139.949528,35.895913
