scenario,timeslot,count_mean,count_std
no05,2022/10/18 18:00:00,10112.5,110.40952476074975
no05,2022/10/18 18:15:00,9320.35,116.3453457327974
no05,2022/10/18 18:30:00,8621.85,151.63226812536337
no05,2022/10/18 18:45:00,7991.25,148.21636922169947
no06,2022/10/18 06:30:00,6869.9,127.94032325967237
no06,2022/10/18 06:45:00,8033.35,118.66506380742833
no06,2022/10/18 07:00:00,7971.8,128.0783477325294
no06,2022/10/18 07:15:00,9373.0,100.3986789596459
no06,2022/10/18 07:30:00,10251.5,88.8295233046216
no06,2022/10/18 07:45:00,10463.5,134.0453576023313
no06,2022/10/18 08:00:00,11061.1,175.6011928984777
no06,2022/10/18 08:15:00,10989.7,129.82988870056045
no06,2022/10/18 08:30:00,11512.2,147.33049135942858
no06,2022/10/18 08:45:00,10576.15,120.537949909649
no06,2022/10/18 09:00:00,9504.6,110.67134845307093
no06,2022/10/18 09:15:00,8856.15,113.96272474620338
no06,2022/10/18 09:30:00,9311.05,139.59357359661533
no06,2022/10/18 09:45:00,8919.1,113.95470014093561
no06,2022/10/18 10:00:00,9591.55,127.13005152205345
no06,2022/10/18 10:15:00,8777.35,111.73713278093999
no06,2022/10/18 10:30:00,8368.6,113.70988014286743
no06,2022/10/18 10:45:00,8250.55,97.88955914434233
no06,2022/10/18 11:00:00,8856.1,111.89652174642158
no06,2022/10/18 11:15:00,9416.55,162.23747214629864
no06,2022/10/18 11:30:00,8357.9,125.29413814154104
no06,2022/10/18 11:45:00,8446.25,122.12024919380858
no06,2022/10/18 12:00:00,8764.1,125.05447234158248
no06,2022/10/18 12:15:00,9001.75,112.51941352963328
no06,2022/10/18 12:30:00,8737.15,165.98201392731812
no06,2022/10/18 12:45:00,8549.9,129.96999653766267
no06,2022/10/18 13:00:00,8665.6,98.52352110296472
no06,2022/10/18 13:15:00,8247.35,126.063590887172
no06,2022/10/18 13:30:00,8252.2,124.25720353999203
no06,2022/10/18 13:45:00,7396.25,102.08864826837076
no06,2022/10/18 14:00:00,8229.5,125.04209817413297
no06,2022/10/18 14:15:00,8446.35,178.96258797507645
no06,2022/10/18 14:30:00,8580.8,131.1361686829461
no06,2022/10/18 14:45:00,8402.3,139.06571714197
no06,2022/10/18 15:00:00,8528.15,130.6942091899613
no06,2022/10/18 15:15:00,8662.9,136.67899388136075
no06,2022/10/18 15:30:00,8203.55,120.02652119208356
no06,2022/10/18 15:45:00,8095.25,122.37856494457982
no06,2022/10/18 16:00:00,9461.95,146.44398066729894
no06,2022/10/18 16:15:00,9579.8,159.16148701042087
no06,2022/10/18 16:30:00,9210.5,133.27790514560178
no06,2022/10/18 16:45:00,9479.1,146.5404201469413
no06,2022/10/18 17:00:00,9966.5,165.6831154247231
no06,2022/10/18 17:15:00,10030.9,147.36310328751324
no06,2022/10/18 17:30:00,9533.6,149.47641954502393
no06,2022/10/18 17:45:00,9857.0,114.70281967809369
no06,2022/10/18 18:00:00,10139.05,135.54120562047768
no06,2022/10/18 18:15:00,9322.45,105.0841642634481
no06,2022/10/18 18:30:00,8624.15,161.05385663448737
no06,2022/10/18 18:45:00,8001.05,135.75266790050676
no07,2022/10/18 06:30:00,6859.8421052631575,135.81575066484368
no07,2022/10/18 06:45:00,8041.526315789473,131.27763980758616
no07,2022/10/18 07:00:00,7958.9473684210525,135.17169069340034
no07,2022/10/18 07:15:00,9372.421052631578,122.97303940723205
no07,2022/10/18 07:30:00,10234.526315789473,125.27364200068966
no07,2022/10/18 07:45:00,10472.947368421053,156.12156007569152
no07,2022/10/18 08:00:00,11056.473684210527,130.14238715988193
no07,2022/10/18 08:15:00,10984.842105263158,104.44895784698733
no07,2022/10/18 08:30:00,11511.105263157895,140.67886785032476
no07,2022/10/18 08:45:00,10614.21052631579,110.60971373224794
no07,2022/10/18 09:00:00,9485.684210526315,113.76489042054101
no07,2022/10/18 09:15:00,8939.421052631578,115.97284921215785
no07,2022/10/18 09:30:00,9272.21052631579,112.77685880995668
no07,2022/10/18 09:45:00,8954.947368421053,112.81325458188311
no07,2022/10/18 10:00:00,9544.368421052632,101.97396755289853
no07,2022/10/18 10:15:00,8772.526315789473,107.36561027165965
no07,2022/10/18 10:30:00,8440.736842105263,108.86732093356302
no07,2022/10/18 10:45:00,8254.105263157895,83.01733067849428
no07,2022/10/18 11:00:00,8893.526315789473,111.78121906506699
no07,2022/10/18 11:15:00,9386.736842105263,130.17204090709384
no07,2022/10/18 11:30:00,8364.78947368421,121.9729382314731
no07,2022/10/18 11:45:00,8448.631578947368,150.95040043608032
no07,2022/10/18 12:00:00,8835.526315789473,133.1567031821499
no07,2022/10/18 12:15:00,8970.421052631578,111.09121166834706
no07,2022/10/18 12:30:00,8716.0,138.47583022157917
no07,2022/10/18 12:45:00,8529.368421052632,132.94702810029955
no07,2022/10/18 13:00:00,8719.315789473685,104.87667500004133
no07,2022/10/18 13:15:00,8217.578947368422,124.56382379659992
no07,2022/10/18 13:30:00,8277.315789473685,156.11464897866162
no07,2022/10/18 13:45:00,7373.0526315789475,100.82684479630875
no07,2022/10/18 14:00:00,8267.263157894737,151.95936668335713
no07,2022/10/18 14:15:00,8446.157894736842,184.7272052267266
no07,2022/10/18 14:30:00,8587.21052631579,139.54233883479762
no07,2022/10/18 14:45:00,8410.631578947368,150.71098556372942
no07,2022/10/18 15:00:00,8557.894736842105,165.98724674465598
no07,2022/10/18 15:15:00,8631.052631578947,141.38500379547196
no07,2022/10/18 15:30:00,8267.947368421053,96.66464002715225
no07,2022/10/18 15:45:00,8055.1578947368425,96.47179389616358
no07,2022/10/18 16:00:00,9470.052631578947,105.8785854354001
no07,2022/10/18 16:15:00,9613.315789473685,147.4287219987187
no07,2022/10/18 16:30:00,9140.526315789473,157.59525106390313
no07,2022/10/18 16:45:00,9472.0,159.66492692162862
no07,2022/10/18 17:00:00,9992.947368421053,148.0024300416911
no07,2022/10/18 17:15:00,10031.21052631579,176.3836030888259
