scenario,link_id,slot_code,HHMM,V_scen,TTT_scen,flow_scen,V_base,TTT_base,flow_base,V_diff,TTT_diff,flow_diff
no03,I_11_533967_-00008_533967_-00009,1230,12:30,46.440000000000005,14.0,0.55,46.440000000000005,14.0,0.55,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1245,12:45,45.752,14.22222222222222,0.45,46.440000000000005,14.0,0.45,-0.6880000000000024,0.22222222222221966,0.0
no03,I_11_533967_-00008_533967_-00009,1300,13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1315,13:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1330,13:30,46.440000000000005,14.0,0.75,46.440000000000005,14.0,0.75,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1345,13:45,46.440000000000005,14.0,0.25,45.820800000000006,14.2,0.25,0.6191999999999993,-0.1999999999999993,0.0
no03,I_11_533967_-00008_533967_-00009,1400,14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1415,14:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1430,14:30,45.96369230769231,14.153846153846152,0.65,46.440000000000005,14.0,0.65,-0.4763076923076923,0.15384615384615152,0.0
no03,I_11_533967_-00008_533967_-00009,1445,14:45,46.440000000000005,14.0,0.35,45.99771428571429,14.142857142857142,0.35,0.44228571428571684,-0.14285714285714235,0.0
no03,I_11_533967_-00008_533967_-00009,1500,15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1515,15:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1530,15:30,45.92400000000001,14.166666666666666,0.6,46.440000000000005,14.0,0.6,-0.5159999999999982,0.16666666666666607,0.0
no03,I_11_533967_-00008_533967_-00009,1545,15:45,46.053,14.125,0.4,46.440000000000005,14.0,0.4,-0.38700000000000756,0.125,0.0
no03,I_11_533967_-00008_533967_-00009,1600,16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1615,16:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1630,16:30,46.440000000000005,14.0,0.75,46.440000000000005,14.0,0.75,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1645,16:45,46.440000000000005,14.0,0.25,46.440000000000005,14.0,0.25,0.0,0.0,0.0
no03,I_11_533967_-00008_533967_-00009,1700,17:00,46.35103448275863,24.166666666666668,1.55,46.35103448275863,24.944444444444443,1.6,0.0,-0.777777777777775,-0.050000000000000044
no03,I_11_533967_-00008_533967_-00009,1715,17:15,46.3256157635468,21.071428571428573,1.05,46.2336,19.666666666666668,1.05,0.0920157635467973,1.404761904761905,0.0
no03,I_11_533967_-00008_533967_-00009,1730,17:30,46.30645859903266,25.9995,1.85,46.09818616358256,26.099,1.85,0.20827243545009821,-0.09949999999999903,0.0
no03,I_11_533967_-00008_533967_-00009,1745,17:45,46.35103448275863,19.5,1.25,46.440000000000005,18.666666666666668,1.2,-0.0889655172413768,0.8333333333333321,0.050000000000000044
no03,I_11_533967_-00008_533967_-00009,1800,18:00,45.849144798710206,20.799333333333333,1.1,46.298601226993874,20.66733333333333,1.1,-0.4494564282836677,0.132000000000005,0.0
no03,I_11_533967_-00008_533967_-00009,1815,18:15,46.27705263157895,28.05263157894737,1.9,46.44,28.0,1.9,-0.16294736842105095,0.05263157894736992,0.0
no03,I_11_533967_-00008_533967_-00009,1830,18:30,46.440000000000005,16.0,0.8,46.218857142857146,16.071428571428573,0.8,0.22114285714285842,-0.07142857142857295,0.0
no03,I_11_533967_-00008_533967_-00009,1845,18:45,46.268,19.5,1.25,46.35103448275863,19.5,1.25,-0.08303448275862735,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,630,06:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,645,06:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,700,07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,715,07:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,730,07:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,745,07:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,800,08:00,53.31536148062464,13.736842105263158,0.95,53.87364183738699,13.526315789473683,0.95,-0.5582803567623529,0.21052631578947434,0.0
no03,I_11_533967_-00009_533967_-00008,815,08:15,47.457420625661534,17.105263157894736,1.0,48.65817189126663,16.36842105263158,1.0,-1.2007512656050991,0.7368421052631575,0.0
no03,I_11_533967_-00009_533967_-00008,830,08:30,50.56901368396972,28.7995,2.0,51.42191400742938,28.3495,2.0,-0.8529003234596573,0.4499999999999993,0.0
no03,I_11_533967_-00009_533967_-00008,845,08:45,53.48651163319439,14.3,1.05,53.33591163319439,14.35,1.05,0.15059999999999718,-0.049999999999998934,0.0
no03,I_11_533967_-00009_533967_-00008,900,09:00,52.04527557370568,28.05,2.0,52.83990418975246,27.55,2.0,-0.7946286160467793,0.5,0.0
no03,I_11_533967_-00009_533967_-00008,915,09:15,52.90976160310278,13.95,1.0,53.0292365026278,13.9,1.0,-0.11947489952502366,0.049999999999998934,0.0
no03,I_11_533967_-00009_533967_-00008,930,09:30,51.00349592207624,28.2,1.95,51.70282326638878,27.65,1.95,-0.6993273443125432,0.5500000000000007,0.0
no03,I_11_533967_-00009_533967_-00008,945,09:45,48.192,15.0,0.05,45.18000000000001,16.0,0.05,3.0119999999999933,-1.0,0.0
no03,I_11_533967_-00009_533967_-00008,1000,10:00,49.37917953311057,28.4,1.9,49.89616430155375,27.95,1.9,-0.5169847684431801,0.4499999999999993,0.0
no03,I_11_533967_-00009_533967_-00008,1015,10:15,51.16513732474422,16.05,1.1,50.95246252516922,16.05,1.1,0.21267479957500512,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1030,10:30,52.751518796992485,13.894736842105264,0.95,52.41414227877386,13.947368421052632,0.95,0.33737651821862613,-0.05263157894736814,0.0
no03,I_11_533967_-00009_533967_-00008,1045,10:45,52.16114493129376,15.052631578947368,1.0,52.208,15.0,1.0,-0.046855068706236125,0.05263157894736814,0.0
no03,I_11_533967_-00009_533967_-00008,1100,11:00,28.9152,25.0,0.05,30.12,24.0,0.05,-1.2048000000000023,1.0,0.0
no03,I_11_533967_-00009_533967_-00008,1115,11:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1130,11:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1145,11:45,50.09120629174747,15.45,1.0,49.25994577892696,15.55,1.0,0.8312605128205064,-0.10000000000000142,0.0
no03,I_11_533967_-00009_533967_-00008,1200,12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1215,12:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1230,12:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1245,12:45,51.97764326200115,14.05,1.0,51.500465264147614,14.3,1.0,0.47717799785353776,-0.25,0.0
no03,I_11_533967_-00009_533967_-00008,1300,13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1315,13:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1330,13:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1345,13:45,51.386620087716274,14.68421052631579,0.95,51.6366084441874,14.473684210526317,0.95,-0.24998835647112827,0.21052631578947256,0.0
no03,I_11_533967_-00009_533967_-00008,1400,14:00,38.04631578947369,19.0,0.05,40.16,18.0,0.05,-2.1136842105263085,1.0,0.0
no03,I_11_533967_-00009_533967_-00008,1415,14:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1430,14:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1445,14:45,50.90758095238096,14.8,1.0,50.90803826086956,14.7,1.0,-0.0004573084885990397,0.10000000000000142,0.0
no03,I_11_533967_-00009_533967_-00008,1500,15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1515,15:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1530,15:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1545,15:45,51.223691447682754,14.4,1.0,51.14452227772228,14.4,1.0,0.07916916996047263,0.0,0.0
no03,I_11_533967_-00009_533967_-00008,1600,16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
