scenario,link_id,slot_code,HHMM,TTT_base,TTT_scen,TTT_diff
no08,533967_00532_11490_1,1415,14:15,6026.4405,6054.292631578947,27.852131578947592
no08,533967_00532_11490_1,1430,14:30,3637.9115,3638.5752631578944,0.6637631578942091
no08,533967_00532_11490_1,1445,14:45,4339.6415,4378.987368421052,39.34586842105273
no08,533967_00532_11490_1,1500,15:00,3342.7995,3466.181578947368,123.38207894736797
no08,533967_00532_11490_1,1515,15:15,4338.36,4417.488421052632,79.1284210526319
no08,533967_00532_11490_1,1530,15:30,4413.322,4524.256842105264,110.93484210526367
no08,533967_00532_11490_1,1545,15:45,3744.5595,3707.722105263158,-36.837394736841816
no08,533967_00532_11490_1,1600,16:00,3834.2705,3862.936315789473,28.665815789473072
no08,533967_00532_11490_1,1615,16:15,3999.7185,3960.083684210526,-39.63481578947403
no08,533967_00532_11490_1,1630,16:30,2618.451,2590.3852631578948,-28.065736842105252
no08,533967_00532_11490_1,1645,16:45,4215.1155,4249.530000000001,34.41450000000077
no08,533967_00532_11490_1,1700,17:00,3391.7505,3456.0436842105264,64.2931842105263
no08,533967_00532_11490_1,1715,17:15,4207.266,4195.348947368421,-11.917052631578372
no08,533967_00532_11490_1,1730,17:30,3924.2435,3903.205263157896,-21.038236842104197
no08,533967_00532_11490_1,1745,17:45,4257.818,4266.603684210527,8.785684210526597
no08,533967_00532_11490_1,1800,18:00,2640.212,2694.2015789473685,53.9895789473685
no08,533967_00532_11490_1,1815,18:15,3345.9435,3280.006842105263,-65.93665789473698
no08,533967_00532_11490_1,1830,18:30,2373.537,2308.742631578948,-64.79436842105179
no08,533967_00532_11490_1,1845,18:45,3092.462,3244.4094736842103,151.9474736842103
no08,533967_00532_11497_0,630,06:30,125.797,124.95631578947368,-0.8406842105263195
no08,533967_00532_11497_0,645,06:45,110.0075,110.67631578947368,0.6688157894736833
no08,533967_00532_11497_0,700,07:00,266.8045,265.2884210526316,-1.5160789473684417
no08,533967_00532_11497_0,715,07:15,187.479,190.2526315789474,2.7736315789473736
no08,533967_00532_11497_0,730,07:30,283.714,278.4863157894737,-5.22768421052632
no08,533967_00532_11497_0,745,07:45,409.5085,409.4415789473685,-0.06692105263152826
no08,533967_00532_11497_0,800,08:00,329.972,331.5936842105263,1.6216842105263254
no08,533967_00532_11497_0,815,08:15,328.0455,331.19157894736844,3.146078947368437
no08,533967_00532_11497_0,830,08:30,72.203,73.0078947368421,0.8048947368421011
no08,533967_00532_11497_0,845,08:45,0.0,0.0,0.0
no08,533967_00532_11497_0,900,09:00,27.901,28.105263157894736,0.20426315789473648
no08,533967_00532_11497_0,915,09:15,57.648,60.42526315789473,2.7772631578947298
no08,533967_00532_11497_0,930,09:30,297.8015,294.7652631578947,-3.036236842105268
no08,533967_00532_11497_0,945,09:45,96.908,95.89105263157894,-1.0169473684210573
no08,533967_00532_11497_0,1000,10:00,228.17400000000004,230.5636842105263,2.3896842105262692
no08,533967_00532_11497_0,1015,10:15,65.349,65.9921052631579,0.6431052631578922
no08,533967_00532_11497_0,1030,10:30,19.614615384615384,20.831666666666667,1.2170512820512833
no08,533967_00532_11497_0,1045,10:45,62.0405,62.26263157894737,0.22213157894736923
no08,533967_00532_11497_0,1100,11:00,25.0515,25.84210526315789,0.7906052631578895
no08,533967_00532_11497_0,1115,11:15,440.326,439.4168421052632,-0.9091578947368362
no08,533967_00532_11497_0,1130,11:30,88.80600000000001,84.90315789473685,-3.9028421052631614
no08,533967_00532_11497_0,1145,11:45,43.949,45.206315789473685,1.2573157894736866
no08,533967_00532_11497_0,1200,12:00,66.44800000000001,65.05421052631579,-1.3937894736842225
no08,533967_00532_11497_0,1215,12:15,15.946842105263158,15.389444444444443,-0.5573976608187152
no08,533967_00532_11497_0,1230,12:30,167.43800000000002,166.98210526315788,-0.45589473684214
no08,533967_00532_11497_0,1245,12:45,95.888,96.84736842105262,0.9593684210526163
no08,533967_00532_11497_0,1300,13:00,77.5505,80.94842105263157,3.397921052631574
no08,533967_00532_11497_0,1315,13:15,29.5545,24.948421052631577,-4.606078947368424
no08,533967_00532_11497_0,1330,13:30,359.775,372.43894736842105,12.663947368421077
no08,533967_00532_11497_0,1345,13:45,177.406,166.80157894736843,-10.60442105263158
no08,533967_00532_11497_0,1400,14:00,141.66400000000002,140.46894736842106,-1.1950526315789602
no08,533967_00532_11497_0,1415,14:15,13.066666666666666,16.285714285714285,3.2190476190476183
no08,533967_00532_11497_0,1430,14:30,0.0,0.0,0.0
no08,533967_00532_11497_0,1445,14:45,50.7575,50.369473684210526,-0.38802631578947455
no08,533967_00532_11497_0,1500,15:00,111.844,116.05263157894736,4.208631578947362
no08,533967_00532_11497_0,1515,15:15,57.151,54.11263157894737,-3.038368421052631
no08,533967_00532_11497_0,1530,15:30,29.753499999999995,26.05210526315789,-3.7013947368421043
no08,533967_00532_11497_0,1545,15:45,109.858,115.69263157894736,5.834631578947352
no08,533967_00532_11497_0,1600,16:00,159.555,152.47210526315789,-7.082894736842121
no08,533967_00532_11497_0,1615,16:15,63.697500000000005,69.89368421052632,6.196184210526312
no08,533967_00532_11497_0,1630,16:30,104.9965,105.20736842105264,0.2108684210526377
no08,533967_00532_11497_0,1645,16:45,50.0985,50.73368421052632,0.6351842105263188
no08,533967_00532_11497_0,1700,17:00,114.4545,115.93894736842104,1.4844473684210442
no08,533967_00532_11497_0,1715,17:15,185.7745,187.80894736842103,2.0344473684210413
no08,533967_00532_11497_0,1730,17:30,347.4045,348.8794736842105,1.4749736842105108
no08,533967_00532_11497_0,1745,17:45,180.2225,182.0094736842105,1.7869736842104942
no08,533967_00532_11497_0,1800,18:00,123.5065,119.0557894736842,-4.450710526315802
no08,533967_00532_11497_0,1815,18:15,117.455,114.56473684210526,-2.8902631578947364
no08,533967_00532_11497_0,1830,18:30,205.6715,207.9915789473684,2.320078947368387
no08,533967_00532_11497_0,1845,18:45,267.7165,266.9452631578947,-0.7712368421052815
no08,533967_00532_11497_1,630,06:30,1413.5815,1410.8110526315788,-2.7704473684211735
no08,533967_00532_11497_1,645,06:45,1299.3515,1293.0378947368422,-6.313605263157797
no08,533967_00532_11497_1,700,07:00,1383.617,1383.0784210526317,-0.5385789473682507
no08,533967_00532_11497_1,715,07:15,1228.8795,1245.4436842105265,16.56418421052649
