scenario,timestr,slot_code,V_net_mean,V_net_std,TTT_mean,TTT_std,flow_veh_mean,flow_veh_std
no03,2022/10/18 15:30:00,1530,27.110411634671532,0.3989297543800578,221846.8235,6027.1772413559165,9162.6,136.30476687806717
no03,2022/10/18 15:45:00,1545,27.31346305619229,0.46340493599376825,212866.54750000002,6024.872553998549,8953.7,116.63713410673095
no03,2022/10/18 16:00:00,1600,24.686035281908733,0.3846673299521666,273391.495,6240.441349754128,10539.4,87.13232526028
no03,2022/10/18 16:15:00,1615,24.613472281991996,0.3408403024864055,270838.3825,6318.648904994498,10595.3,144.62768898469142
no03,2022/10/18 16:30:00,1630,23.874245768924986,0.632517017124831,266132.939,9179.387121534794,10113.85,154.17668435921198
no03,2022/10/18 16:45:00,1645,24.890691088492503,0.6985075189070699,271693.8635,9649.925685363309,10489.5,140.85397440350445
no03,2022/10/18 17:00:00,1700,23.91844742010695,0.7434486769226932,294336.06,10266.477202424661,11049.55,146.26057316706354
no03,2022/10/18 17:15:00,1715,26.200149923147485,0.5985768665686434,276605.16000000003,8112.453864801115,11122.3,188.68829768751053
no03,2022/10/18 17:30:00,1730,26.31686033236381,0.6392604322495606,258153.8725,7458.558971002709,10583.15,117.99610832119595
no03,2022/10/18 17:45:00,1745,25.242959772057908,0.8937404037397938,279334.073,11638.65724752875,10970.8,149.06501583996285
no03,2022/10/18 18:00:00,1800,25.249655397130933,0.7344071103057733,278721.9925,8223.64736346917,11178.8,96.97997622949654
no03,2022/10/18 18:15:00,1815,25.89753155929847,0.8712708873305309,255093.25499999998,7946.671648124138,10280.85,107.70636251547894
no03,2022/10/18 18:30:00,1830,27.26611630943537,0.758789119579684,223919.162,10204.991708770769,9564.95,151.02229706412993
no03,2022/10/18 18:45:00,1845,28.38836979608829,0.39311410560332355,196131.12,5274.343208519201,8852.25,155.0710787790044
no04,2022/10/18 06:30:00,0630,27.81107792298412,0.438400089894573,169358.565,5017.005420758588,7861.1,129.26020269208945
no04,2022/10/18 06:45:00,0645,25.479233301086346,0.3672872924379622,218067.98850000004,5230.66485542937,8988.9,125.09613145602565
no04,2022/10/18 07:00:00,0700,26.85679279466885,0.3650480241914336,208315.248,3962.5514335570797,8904.8,128.4775630626851
no04,2022/10/18 07:15:00,0715,26.40098783854246,0.417190909874192,252533.3935,4887.755982532461,10538.35,96.86739443828942
no04,2022/10/18 07:30:00,0730,24.868262579089752,0.39440667171114785,288975.6475,5525.014202185012,11414.0,85.09870430085402
no04,2022/10/18 07:45:00,0745,24.939203302888906,0.47149704625225786,281603.6665,7117.0082672258195,11638.7,148.34777773156796
no04,2022/10/18 08:00:00,0800,23.7915388939819,0.8085928214699561,322397.2065,12333.582959181966,12320.0,153.34893131953044
no04,2022/10/18 08:15:00,0815,24.513061266132823,0.6618820887190858,317255.9925,10396.598421249864,12232.1,112.63490157420851
no04,2022/10/18 08:30:00,0830,24.56213180252533,0.3592676722384608,323181.1585,6683.061039793272,12849.1,148.9598674316784
no04,2022/10/18 08:45:00,0845,24.87221154034335,0.41422723852183396,300614.365,7116.984403399865,11742.05,122.19159890150085
no04,2022/10/18 09:00:00,0900,26.292905219564126,0.5062913346162702,260300.9165,6819.546512124092,10512.35,99.43698083658194
no04,2022/10/18 09:15:00,0915,26.94836185548982,0.5782434247637614,226456.9125,6456.82169746147,9873.6,111.46602031206871
no04,2022/10/18 09:30:00,0930,26.953870738029508,0.6549693375539706,241121.6355,6279.295313312986,10394.9,133.78218746982162
no04,2022/10/18 09:45:00,0945,28.2050283994159,0.4013391036986104,222942.232,4835.31375406045,9961.85,110.81909155299715
no04,2022/10/18 10:00:00,1000,25.82265919249172,0.7198262516895712,256242.58,6243.920192187789,10691.15,116.30371990249498
no04,2022/10/18 10:15:00,1015,25.522587330231104,0.8225658727959398,245666.35350000003,9208.637207559845,9736.55,116.59126761559148
no04,2022/10/18 10:30:00,1030,28.17106912746285,0.5303043200299262,211945.2355,6421.375755253101,9318.05,136.62799089036196
no04,2022/10/18 10:45:00,1045,29.043583290922363,0.22020604905425487,202264.5115,3893.133729957042,9145.45,104.47738360147858
no04,2022/10/18 11:00:00,1100,27.44629305275758,0.2798554665903569,227835.79249999998,3839.2409194689803,9860.55,101.17128519183905
no04,2022/10/18 11:15:00,1115,27.099928358325588,0.43477855709049157,237974.10100000002,6093.718850753662,10446.5,140.81473457591093
no04,2022/10/18 11:30:00,1130,28.06905465360207,0.31745234979483733,209151.96899999998,5302.362493147352,9272.9,139.77760531418613
no04,2022/10/18 11:45:00,1145,28.50955987023242,0.3410514124939625,213475.964,4616.530564605954,9381.5,116.83208823822878
no04,2022/10/18 12:00:00,1200,27.901941253729508,0.40054395729272674,220976.6815,4368.52720929013,9763.15,131.41428064671945
no04,2022/10/18 12:15:00,1215,27.954046037608908,0.4771673914491671,231638.4165,5951.143217825126,10002.8,112.90592264545326
no04,2022/10/18 12:30:00,1230,27.890390254095376,0.4384590358674387,214522.974,5887.1339677374835,9713.95,154.81822108184602
no04,2022/10/18 12:45:00,1245,28.930501202574373,0.28549892455758735,212871.42450000002,3801.1179043310462,9488.05,118.0376723985319
no04,2022/10/18 13:00:00,1300,28.685267967772802,0.2878905034645206,218823.33650000003,3713.5507023152445,9660.4,101.46837723619814
