slot_code,scenario,V_net_mean,TTT_mean,bus_mean,HHMM
1830,no05,27.144883167927,225299.038,239.1,18:30
1845,no05,28.17641843629399,197672.6365,300.5,18:45
630,no06,27.790168173747013,169386.51400000002,251.15,06:30
645,no06,25.40488623279563,218647.0245,272.25,06:45
700,no06,26.866108739006904,208128.2075,275.45,07:00
715,no06,26.36362422765441,252896.781,352.15,07:15
730,no06,24.83151299278556,289563.831,323.75,07:30
745,no06,24.975643187060303,281333.8175,418.75,07:45
800,no06,23.736272888599608,323004.0495,460.2,08:00
815,no06,24.49756726081262,317187.9695,427.6,08:15
830,no06,24.33613532274196,325434.998,396.7,08:30
845,no06,24.44828057395587,306099.558,305.25,08:45
900,no06,25.98414532170495,263865.9195,409.65,09:00
915,no06,26.81728178513339,227856.644,232.35,09:15
930,no06,26.71731293512672,243248.613,344.75,09:30
945,no06,27.95583766702223,225033.381,222.55,09:45
1000,no06,25.447397732222857,259956.459,312.3,10:00
1015,no06,24.84422771411308,253246.278,201.25,10:15
1030,no06,27.85094176322968,214487.4485,320.15,10:30
1045,no06,28.85264612390288,203852.071,294.2,10:45
1100,no06,27.29052949980961,229557.645,205.7,11:00
1115,no06,26.977633532513835,238934.374,226.4,11:15
1130,no06,27.975535049692816,209976.765,247.2,11:30
1145,no06,28.365139628906174,214691.5315,249.25,11:45
1200,no06,27.816429195605732,221701.192,224.65,12:00
1215,no06,28.07153653925104,230518.012,241.6,12:15
1230,no06,27.814019303484088,215262.7715,276.85,12:30
1245,no06,28.83612491229825,213913.584,309.1,12:45
1300,no06,28.61431970832412,219031.47850000003,275.2,13:00
1315,no06,28.72523354767728,208541.627,240.7,13:15
1330,no06,28.27258681962264,205595.6115,262.4,13:30
1345,no06,28.38565911907432,186626.0885,209.6,13:45
1400,no06,28.282567154577,204473.3125,310.75,14:00
1415,no06,28.356131857946515,217256.5405,224.45,14:15
1430,no06,28.908774348636197,211950.391,288.2,14:30
1445,no06,28.46907168292092,213196.2425,355.55,14:45
1500,no06,26.953688096562963,225326.971,259.9,15:00
1515,no06,26.7831773155171,229110.82,346.45,15:15
1530,no06,27.03598207300796,221374.28250000003,280.8,15:30
1545,no06,27.21687919667528,214754.4575,264.6,15:45
1600,no06,24.556067343284305,273421.38450000004,283.1,16:00
1615,no06,24.44118686844027,272267.65150000004,266.8,16:15
1630,no06,23.6244047723648,270613.4325,240.25,16:30
1645,no06,24.857557546357544,273276.7715,211.35,16:45
1700,no06,23.77450630704446,295028.0425,365.3,17:00
1715,no06,26.194754620291956,276350.8135,295.9,17:15
1730,no06,26.29753749725393,257969.0455,286.25,17:30
1745,no06,25.035561795914347,280669.73,265.05,17:45
1800,no06,25.037357740320807,281811.4085,330.9,18:00
1815,no06,25.599147285877287,258277.651,294.5,18:15
1830,no06,27.10576971700246,225337.591,239.1,18:30
1845,no06,28.161417563545942,198105.748,300.5,18:45
630,no07,27.707171693715893,169671.86473684208,251.15,06:30
645,no07,25.19589880946813,220700.1594736842,272.25,06:45
700,no07,26.458381139242352,210870.7952631579,275.45,07:00
715,no07,25.815905198950254,257924.9663157895,352.15,07:15
730,no07,24.148135847963744,297184.25842105265,323.75,07:30
745,no07,24.2994095429743,289428.0794736842,418.75,07:45
800,no07,23.33665794306839,328186.3384210526,460.2,08:00
815,no07,24.16483137799317,321644.3678947369,427.6,08:15
830,no07,23.949171360106167,330784.39684210526,396.7,08:30
845,no07,24.071092135557603,312020.7842105263,305.25,08:45
900,no07,25.421522759033245,269215.13368421054,409.65,09:00
915,no07,26.699438846165155,230818.3410526316,232.35,09:15
930,no07,26.29047652378181,246152.22315789477,344.75,09:30
945,no07,27.488570690388684,229471.9347368421,222.55,09:45
1000,no07,24.981160265171297,263408.4236842105,312.3,10:00
1015,no07,23.931416011234127,262409.04789473687,201.25,10:15
1030,no07,26.986672064008022,222412.4621052632,320.15,10:30
1045,no07,28.650632861305706,205465.51315789475,294.2,10:45
1100,no07,27.078983459797247,232072.56368421053,205.7,11:00
1115,no07,26.45287567240932,242557.81842105265,226.4,11:15
1130,no07,27.73955330096417,211755.57052631577,247.2,11:30
1145,no07,28.03961752188258,217364.86263157896,249.25,11:45
1200,no07,27.416347731228097,226642.92157894737,224.65,12:00
1215,no07,27.782641100342296,232096.3710526316,241.6,12:15
1230,no07,27.57052803050501,216267.7847368421,276.85,12:30
1245,no07,28.537231068833957,215658.7168421053,309.1,12:45
1300,no07,28.39390450051687,222300.72842105263,275.2,13:00
1315,no07,28.609746562547716,208939.23421052637,240.7,13:15
1330,no07,27.980623613563807,208353.79263157892,262.4,13:30
1345,no07,27.77613781172709,190268.88684210528,209.6,13:45
1400,no07,27.89787912441396,207929.16157894736,310.75,14:00
1415,no07,28.006631447120107,220066.5036842105,224.45,14:15
