route_id,speed_a,speed_b,ties_a,ties_b,common_count,union_count,overlap_ratio_vs_smaller,jaccard
314,32.5,42.5,819,9555,0,10374,0.0,0.0
314,32.5,45.0,819,21997,0,22816,0.0,0.0
314,32.5,47.5,819,36425,0,37244,0.0,0.0
314,32.5,50.0,819,96320,0,97139,0.0,0.0
314,35.0,35.0,1035,1035,1035,1035,1.0,1.0
314,35.0,37.5,1035,363,115,1283,0.3168044077134986,0.08963367108339829
314,35.0,40.0,1035,6937,805,7167,0.7777777777777778,0.11232035719268871
314,35.0,42.5,1035,9555,0,10590,0.0,0.0
314,35.0,45.0,1035,21997,0,23032,0.0,0.0
314,35.0,47.5,1035,36425,0,37460,0.0,0.0
314,35.0,50.0,1035,96320,0,97355,0.0,0.0
314,37.5,37.5,363,363,363,363,1.0,1.0
314,37.5,40.0,363,6937,363,6937,1.0,0.05232809571861035
314,37.5,42.5,363,9555,0,9918,0.0,0.0
314,37.5,45.0,363,21997,0,22360,0.0,0.0
314,37.5,47.5,363,36425,0,36788,0.0,0.0
314,37.5,50.0,363,96320,0,96683,0.0,0.0
314,40.0,40.0,6937,6937,6937,6937,1.0,1.0
314,40.0,42.5,6937,9555,0,16492,0.0,0.0
314,40.0,45.0,6937,21997,0,28934,0.0,0.0
314,40.0,47.5,6937,36425,0,43362,0.0,0.0
314,40.0,50.0,6937,96320,0,103257,0.0,0.0
314,42.5,42.5,9555,9555,9555,9555,1.0,1.0
314,42.5,45.0,9555,21997,8775,22777,0.9183673469387755,0.38525705755806294
314,42.5,47.5,9555,36425,8385,37595,0.8775510204081632,0.2230349780555925
314,42.5,50.0,9555,96320,7995,97880,0.8367346938775511,0.08168165100122599
314,45.0,45.0,21997,21997,21997,21997,1.0,1.0
314,45.0,47.5,21997,36425,21025,37397,0.9558121562031187,0.5622108725298821
314,45.0,50.0,21997,96320,20049,98268,0.9114424694276492,0.20402369031627793
314,47.5,47.5,36425,36425,36425,36425,1.0,1.0
314,47.5,50.0,36425,96320,34779,97966,0.9548112560054908,0.3550109221566666
314,50.0,50.0,96320,96320,96320,96320,1.0,1.0
321,20.0,20.0,3075,3075,3075,3075,1.0,1.0
321,20.0,22.5,3075,22673,0,25748,0.0,0.0
321,20.0,25.0,3075,231,0,3306,0.0,0.0
321,20.0,27.5,3075,16229,0,19304,0.0,0.0
321,20.0,30.0,3075,861,525,3411,0.6097560975609756,0.15391380826737028
321,20.0,32.5,3075,897,897,3075,1.0,0.2917073170731707
321,20.0,35.0,3075,2223,975,4323,0.43859649122807015,0.22553782095766828
321,20.0,37.5,3075,897,225,3747,0.2508361204013378,0.0600480384307446
321,20.0,40.0,3075,3755,375,6455,0.12195121951219512,0.05809450038729667
321,20.0,42.5,3075,19655,975,21755,0.3170731707317073,0.04481728338313031
321,20.0,45.0,3075,330,0,3405,0.0,0.0
321,20.0,47.5,3075,12323,0,15398,0.0,0.0
321,20.0,50.0,3075,98399,0,101474,0.0,0.0
321,22.5,22.5,22673,22673,22673,22673,1.0,1.0
321,22.5,25.0,22673,231,231,22673,1.0,0.01018832973139858
321,22.5,27.5,22673,16229,16229,22673,1.0,0.7157852952851409
321,22.5,30.0,22673,861,0,23534,0.0,0.0
321,22.5,32.5,22673,897,0,23570,0.0,0.0
321,22.5,35.0,22673,2223,0,24896,0.0,0.0
321,22.5,37.5,22673,897,0,23570,0.0,0.0
321,22.5,40.0,22673,3755,0,26428,0.0,0.0
321,22.5,42.5,22673,19655,0,42328,0.0,0.0
321,22.5,45.0,22673,330,0,23003,0.0,0.0
321,22.5,47.5,22673,12323,0,34996,0.0,0.0
321,22.5,50.0,22673,98399,0,121072,0.0,0.0
321,25.0,25.0,231,231,231,231,1.0,1.0
321,25.0,27.5,231,16229,231,16229,1.0,0.014233779037525417
321,25.0,30.0,231,861,0,1092,0.0,0.0
321,25.0,32.5,231,897,0,1128,0.0,0.0
321,25.0,35.0,231,2223,0,2454,0.0,0.0
321,25.0,37.5,231,897,0,1128,0.0,0.0
321,25.0,40.0,231,3755,0,3986,0.0,0.0
321,25.0,42.5,231,19655,0,19886,0.0,0.0
321,25.0,45.0,231,330,0,561,0.0,0.0
321,25.0,47.5,231,12323,0,12554,0.0,0.0
321,25.0,50.0,231,98399,0,98630,0.0,0.0
321,27.5,27.5,16229,16229,16229,16229,1.0,1.0
321,27.5,30.0,16229,861,0,17090,0.0,0.0
321,27.5,32.5,16229,897,0,17126,0.0,0.0
321,27.5,35.0,16229,2223,0,18452,0.0,0.0
321,27.5,37.5,16229,897,0,17126,0.0,0.0
321,27.5,40.0,16229,3755,0,19984,0.0,0.0
321,27.5,42.5,16229,19655,0,35884,0.0,0.0
321,27.5,45.0,16229,330,0,16559,0.0,0.0
321,27.5,47.5,16229,12323,0,28552,0.0,0.0
321,27.5,50.0,16229,98399,0,114628,0.0,0.0
321,30.0,30.0,861,861,861,861,1.0,1.0
321,30.0,32.5,861,897,483,1275,0.5609756097560976,0.3788235294117647
321,30.0,35.0,861,2223,273,2811,0.3170731707317073,0.09711846318036287
321,30.0,37.5,861,897,63,1695,0.07317073170731707,0.03716814159292035
321,30.0,40.0,861,3755,105,4511,0.12195121951219512,0.023276435380181777
321,30.0,42.5,861,19655,273,20243,0.3170731707317073,0.013486143358197896
321,30.0,45.0,861,330,0,1191,0.0,0.0
321,30.0,47.5,861,12323,0,13184,0.0,0.0
321,30.0,50.0,861,98399,0,99260,0.0,0.0
321,32.5,32.5,897,897,897,897,1.0,1.0
321,32.5,35.0,897,2223,507,2613,0.5652173913043478,0.19402985074626866
321,32.5,37.5,897,897,117,1677,0.13043478260869565,0.06976744186046512
321,32.5,40.0,897,3755,195,4457,0.21739130434782608,0.04375140228853489
321,32.5,42.5,897,19655,507,20045,0.5652173913043478,0.02529309054627089
321,32.5,45.0,897,330,0,1227,0.0,0.0
321,32.5,47.5,897,12323,0,13220,0.0,0.0
321,32.5,50.0,897,98399,0,99296,0.0,0.0
321,35.0,35.0,2223,2223,2223,2223,1.0,1.0
321,35.0,37.5,2223,897,513,2607,0.5719063545150501,0.19677790563866512
321,35.0,40.0,2223,3755,855,5123,0.38461538461538464,0.166894397813781
321,35.0,42.5,2223,19655,2223,19655,1.0,0.11310099211396592
321,35.0,45.0,2223,330,0,2553,0.0,0.0
321,35.0,47.5,2223,12323,0,14546,0.0,0.0
321,35.0,50.0,2223,98399,0,100622,0.0,0.0
321,37.5,37.5,897,897,897,897,1.0,1.0
321,37.5,40.0,897,3755,897,3755,1.0,0.2388814913448735
321,37.5,42.5,897,19655,897,19655,1.0,0.04563724243195116
321,37.5,45.0,897,330,0,1227,0.0,0.0
321,37.5,47.5,897,12323,0,13220,0.0,0.0
321,37.5,50.0,897,98399,0,99296,0.0,0.0
321,40.0,40.0,3755,3755,3755,3755,1.0,1.0
321,40.0,42.5,3755,19655,3755,19655,1.0,0.1910455354871534
321,40.0,45.0,3755,330,0,4085,0.0,0.0
321,40.0,47.5,3755,12323,0,16078,0.0,0.0
321,40.0,50.0,3755,98399,0,102154,0.0,0.0
321,42.5,42.5,19655,19655,19655,19655,1.0,1.0
321,42.5,45.0,19655,330,0,19985,0.0,0.0
321,42.5,47.5,19655,12323,0,31978,0.0,0.0
