route_id,V_kmh,Dpillar,simulation_delay
D30_314,42.5,24.98823529383528,35.29411697387695
D30_314,45.0,25.599999996799987,40.0
D30_314,47.5,25.515789476968425,39.78947448730469
D30_314,50.0,23.28000000000001,36.0
D30_321,10.0,38.39999999999998,
D30_321,12.5,26.210909091570397,
D30_321,15.0,12.54545454545454,
D30_321,17.5,26.54545454592689,
D30_321,20.0,16.799999999999997,24.0
D30_321,22.5,22.799999991599982,24.0
D30_321,25.0,29.99999999999998,36.0
D30_321,27.5,37.09090908853816,42.54545593261719
D30_321,30.0,38.399999999999984,48.0
D30_321,32.5,31.015384613169264,38.769229888916016
D30_321,35.0,24.685714280228595,30.85714340209961
D30_321,37.5,23.99999999999998,24.0
D30_321,40.0,29.99999999999997,30.0
D30_321,42.5,24.705882357882363,24.705883026123047
D30_321,45.0,19.999999996000017,24.0
D30_321,47.5,18.631578956336835,24.0
D30_321,50.0,19.2,24.0
D30_322,10.0,12.00000000000002,
D30_322,12.5,22.800000001097168,
D30_322,15.0,28.92972972860029,
D30_322,17.5,9.437837837837847,
D30_322,20.0,23.99999999999998,24.0
D30_322,22.5,12.00000000000002,12.0
D30_322,25.0,7.2000000000000135,7.199999809265137
D30_322,27.5,22.909090910181817,22.909090042114254
D30_322,30.0,24.00000000000003,36.0
D30_322,32.5,35.076923077846125,43.38461685180664
D30_322,35.0,35.14285714011429,44.57143020629883
D30_322,37.5,33.36000000000001,43.20000076293945
D30_322,40.0,32.099999999999994,42.0
D30_322,42.5,29.505882360882342,40.94117736816406
D30_322,45.0,29.200000002199992,40.0
D30_322,47.5,29.242105261515785,39.15789413452149
D30_322,50.0,29.279999999999987,38.400001525878906
D30_323,10.0,24.000000000000053,
D30_323,12.5,22.73600000265438,
D30_323,15.0,23.99999999922574,
D30_323,17.5,33.33968253965996,
D30_323,20.0,22.200000000000067,36.0
D30_323,22.5,25.59999999680003,28.0
D30_323,25.0,21.60000000000004,21.600000381469727
D30_323,27.5,3.2727272714271827,3.2727272510528564
D30_323,30.0,11.99999999999997,12.0
D30_323,32.5,24.92307692215377,24.923076629638672
D30_323,35.0,24.00000000000005,36.0
D30_323,37.5,30.96,45.59999847412109
D30_323,40.0,29.099999999999994,48.0
D30_323,42.5,27.45882352602352,50.11764526367188
D30_323,45.0,31.99999999659997,52.0
D30_323,47.5,37.26315789347366,53.68421173095703
D30_323,50.0,39.36,52.79999923706055
D30_324,10.0,31.19999999915781,
D30_324,12.5,29.02690909356346,
D30_324,15.0,15.272727271287252,
D30_324,17.5,22.62857142882286,
D30_324,20.0,23.999999999999904,30.0
D30_324,22.5,34.79999999280001,40.0
D30_324,25.0,26.640000000000008,28.799999237060547
D30_324,27.5,22.909090910181767,22.909090042114254
D30_324,30.0,24.000000000000043,24.0
D30_324,32.5,26.1230769173538,30.461538314819336
D30_324,35.0,32.05714285712567,36.0
D30_324,37.5,34.56000000000001,40.79999923706055
D30_324,40.0,28.80000000000001,42.0
D30_324,42.5,23.717647061647057,40.94117736816406
D30_324,45.0,25.199999993399977,40.0
D30_324,47.5,29.052631573894708,39.15789413452149
D30_324,50.0,27.84,38.400001525878906
D30_331,10.0,34.800000000000026,
D30_331,12.5,24.00000000159996,
D30_331,15.0,12.54545454545454,
D30_331,17.5,25.714285715428524,
D30_331,20.0,28.2,39.0
D30_331,22.5,25.199999992799995,44.0
D30_331,25.0,35.99999999999997,48.0
D30_331,27.5,39.5999999964,50.18181991577149
D30_331,30.0,34.800000000000004,42.0
D30_331,32.5,30.64615383950771,44.400001525878906
D30_331,35.0,27.085714282628583,41.14285659790039
D30_331,37.5,23.999999999999996,36.0
D30_331,40.0,22.199999999999985,31.5
D30_331,42.5,23.78823530103528,27.52941131591797
D30_331,45.0,25.199999992799984,28.0
D30_331,47.5,26.463157900673668,29.052631378173828
D30_331,50.0,27.599999999999994,30.0
D30_332,10.0,20.07567567567566,
D30_332,12.5,26.400000003360027,
D30_332,15.0,28.92972973106304,
D30_332,17.5,15.42857143200002,
D30_332,20.0,8.999999999999988,9.0
D30_332,22.5,28.00000000400001,28.0
D30_332,25.0,19.919999999999987,24.0
D30_332,27.5,18.218181820363625,25.090909957885746
D30_332,30.0,22.80000000000002,30.0
D30_332,32.5,28.33846154252308,34.153846740722656
D30_332,35.0,33.08571428502856,37.71428680419922
D30_332,37.5,35.760000000000005,40.79999923706055
D30_332,40.0,33.9,43.5
D30_332,42.5,30.77647059487058,44.47058868408203
D30_332,45.0,28.000000004,40.0
D30_332,47.5,25.515789472168432,36.0
D30_332,50.0,26.16,32.400001525878906
D30_333,10.0,22.799999999999912,
D30_333,12.5,28.79999999879994,
D30_333,15.0,24.000000002608648,
D30_333,17.5,35.39682539668856,
D30_333,20.0,27.000000000000128,27.0
D30_333,22.5,6.7999999984000175,8.0
D30_333,25.0,14.399999999999972,14.399999618530272
D30_333,27.5,29.454545449090837,29.454545974731445
D30_333,30.0,18.000000000000032,18.0
D30_333,32.5,13.384615382030772,15.692307472229004
D30_333,35.0,12.514285712571448,17.14285659790039
D30_333,37.5,17.999999999999968,21.600000381469727
D30_333,40.0,22.79999999999996,25.5
D30_333,42.5,27.0352941136941,28.941177368164062
D30_333,45.0,30.79999999839998,32.0
D30_333,47.5,33.53684210412631,34.73684310913086
D30_333,50.0,33.36000000000001,37.20000076293945
D30_334,10.0,29.99999999999997,
D30_334,12.5,26.40000000335995,
D30_334,15.0,15.272727272727243,
D30_334,17.5,23.516883116883157,
D30_334,20.0,16.20000000000004,27.0
D30_334,22.5,28.00000000399996,28.0
D30_334,25.0,31.199999999999967,43.20000076293945
D30_334,27.5,41.78181817506493,46.90909194946289
D30_334,30.0,33.60000000000001,42.0
D30_334,32.5,26.58461537723079,33.230770111083984
D30_334,35.0,22.28571428742852,29.14285659790039
D30_334,37.5,28.79999999999997,28.799999237060547
D30_334,40.0,25.500000000000025,34.5
D30_334,42.5,23.294117649317634,39.52941131591797
D30_334,45.0,23.999999995199985,40.0
D30_334,47.5,24.000000004800008,36.0
