scenario,timestr,slot_code,hhmm,dist_m_mean,dist_m_std,n_runs
no05,2022/10/18 16:00:00,1600,16:00,1884246.39,24520.39254042928,20
no05,2022/10/18 16:15:00,1615,16:15,1864968.35,26040.53189046684,20
no05,2022/10/18 16:30:00,1630,16:30,1772333.9100000001,34660.58548371016,20
no05,2022/10/18 16:45:00,1645,16:45,1892688.875,31697.08677480222,20
no05,2022/10/18 17:00:00,1700,17:00,1965378.8350000002,21549.205724116353,20
no05,2022/10/18 17:15:00,1715,17:15,2019802.9649999999,36377.31534228258,20
no05,2022/10/18 17:30:00,1730,17:30,1895265.145,22664.930801303344,20
no05,2022/10/18 17:45:00,1745,17:45,1969901.595,27523.52626927074,20
no05,2022/10/18 18:00:00,1800,18:00,1966290.5699999998,23045.215147368923,20
no05,2022/10/18 18:15:00,1815,18:15,1843088.875,22946.672162644165,20
no05,2022/10/18 18:30:00,1830,18:30,1706947.3399999999,32948.871728488986,20
no05,2022/10/18 18:45:00,1845,18:45,1556332.705,27056.74331607703,20
no06,2022/10/18 06:30:00,0630,06:30,1318016.5699999998,25394.489800992997,20
no06,2022/10/18 06:45:00,0645,06:45,1553037.385,25713.44477195329,20
no06,2022/10/18 07:00:00,0700,07:00,1563121.535,25159.992607610726,20
no06,2022/10/18 07:15:00,0715,07:15,1864114.35,20217.623709044685,20
no06,2022/10/18 07:30:00,0730,07:30,2009330.8850000002,14969.404061839105,20
no06,2022/10/18 07:45:00,0745,07:45,1963446.95,25262.03635748386,20
no06,2022/10/18 08:00:00,0800,08:00,2141357.4850000003,36684.82429477055,20
no06,2022/10/18 08:15:00,0815,08:15,2170464.975,27923.48106090672,20
no06,2022/10/18 08:30:00,0830,08:30,2213985.8649999998,32600.32759871346,20
no06,2022/10/18 08:45:00,0845,08:45,2090130.595,25261.035799375717,20
no06,2022/10/18 09:00:00,0900,09:00,1914798.855,25085.475844158675,20
no06,2022/10/18 09:15:00,0915,09:15,1707256.605,22436.1616174114,20
no06,2022/10/18 09:30:00,0930,09:30,1815898.685,25417.635830457646,20
no06,2022/10/18 09:45:00,0945,09:45,1758450.5850000002,22985.324694116753,20
no06,2022/10/18 10:00:00,1000,10:00,1848954.3850000002,28735.695022581473,20
no06,2022/10/18 10:15:00,1015,10:15,1754183.58,25116.572410778845,20
no06,2022/10/18 10:30:00,1030,10:30,1668231.8800000001,24902.613821097922,20
no06,2022/10/18 10:45:00,1045,10:45,1643617.435,22579.46493898414,20
no06,2022/10/18 11:00:00,1100,11:00,1751293.33,23936.853232490485,20
no06,2022/10/18 11:15:00,1115,11:15,1801284.815,31276.076520111474,20
no06,2022/10/18 11:30:00,1130,11:30,1641542.935,26397.48534846444,20
no06,2022/10/18 11:45:00,1145,11:45,1701472.3850000002,26351.03789409588,20
no06,2022/10/18 12:00:00,1200,12:00,1723761.4300000002,29357.860409313496,20
no06,2022/10/18 12:15:00,1215,12:15,1808300.0899999999,25232.133178045642,20
no06,2022/10/18 12:30:00,1230,12:30,1673634.635,36445.10239029711,20
no06,2022/10/18 12:45:00,1245,12:45,1723598.25,27164.979528129323,20
no06,2022/10/18 13:00:00,1300,13:00,1751564.3350000002,21667.25785725833,20
no06,2022/10/18 13:15:00,1315,13:15,1673896.125,31663.240035441268,20
no06,2022/10/18 13:30:00,1330,13:30,1624653.7650000001,28970.27884621846,20
no06,2022/10/18 13:45:00,1345,13:45,1479836.405,20515.89521777728,20
no06,2022/10/18 14:00:00,1400,14:00,1616374.01,26753.338895604287,20
no06,2022/10/18 14:15:00,1415,14:15,1721014.875,36930.34393266775,20
no06,2022/10/18 14:30:00,1430,14:30,1712017.4300000002,28178.66922379968,20
no06,2022/10/18 14:45:00,1445,14:45,1696042.265,30722.521795038352,20
no06,2022/10/18 15:00:00,1500,15:00,1696635.545,25743.668575041007,20
no06,2022/10/18 15:15:00,1515,15:15,1714953.595,28350.967664641597,20
no06,2022/10/18 15:30:00,1530,15:30,1672247.97,26071.297064983806,20
no06,2022/10/18 15:45:00,1545,15:45,1632647.0050000001,26847.05857608743,20
no06,2022/10/18 16:00:00,1600,16:00,1876691.0899999999,29114.12101685547,20
no06,2022/10/18 16:15:00,1615,16:15,1858966.675,30166.570291700013,20
no06,2022/10/18 16:30:00,1630,16:30,1784070.0,28216.2517213228,20
no06,2022/10/18 16:45:00,1645,16:45,1897331.83,31341.807704273946,20
no06,2022/10/18 17:00:00,1700,17:00,1959060.42,31920.52093511404,20
no06,2022/10/18 17:15:00,1715,17:15,2021287.4300000002,32308.76479613054,20
no06,2022/10/18 17:30:00,1730,17:30,1895275.3649999998,30192.79710217189,20
no06,2022/10/18 17:45:00,1745,17:45,1962483.7899999998,20235.474194225313,20
no06,2022/10/18 18:00:00,1800,18:00,1969941.225,30153.623974292397,20
no06,2022/10/18 18:15:00,1815,18:15,1844105.4149999998,22600.546228198164,20
no06,2022/10/18 18:30:00,1830,18:30,1705348.22,34354.12168011589,20
no06,2022/10/18 18:45:00,1845,18:45,1558772.24,26918.018195574205,20
no07,2022/10/18 06:30:00,0630,06:30,1316320.9210526317,26265.857701747005,19
no07,2022/10/18 06:45:00,0645,06:45,1554682.652631579,27904.116878983375,19
no07,2022/10/18 07:00:00,0700,07:00,1559492.2578947367,26868.376019181484,19
no07,2022/10/18 07:15:00,0715,07:15,1861770.3631578947,25178.540787393846,19
no07,2022/10/18 07:30:00,0730,07:30,2004848.489473684,23404.26709232254,19
no07,2022/10/18 07:45:00,0745,07:45,1964995.1684210529,30264.851985119098,19
