scenario,timestr,slot_code,HHMM,V_net_rel,TTT_rel,flow_rel,V_net_mean,TTT_mean,flow_veh_mean
no03,2022/10/18 07:30:00,730,07:30,0.9553957755801383,1.0512358248790195,1.0032761797545284,24.676335405753708,291593.5965,11407.2
no03,2022/10/18 07:45:00,745,07:45,0.9517091019415873,1.0499275569136621,0.9990747483401157,24.88574788228328,282896.2465,11661.7
no03,2022/10/18 08:00:00,800,08:00,0.9616250259536722,1.0367877469444404,0.997521398726218,23.72377061362987,322427.8335,12294.95
no03,2022/10/18 08:15:00,815,08:15,0.9850381764064545,1.019922989311551,1.004191335710345,24.651706250388173,314766.664,12195.0
no03,2022/10/18 08:30:00,830,08:30,0.9831728951270912,1.0168234826547498,0.9996458675466794,24.3000661665472,326491.124,12843.75
no03,2022/10/18 08:45:00,845,08:45,0.9861744893722396,1.0156803964347134,1.0028480432493274,24.628677061178653,303976.87450000003,11760.75
no03,2022/10/18 09:00:00,900,09:00,0.9869881961772465,1.0135878257820692,0.9999714368683383,25.95722880010743,263566.6485,10502.75
no03,2022/10/18 09:15:00,915,09:15,0.9893874472585289,1.0140342501032056,1.002118847145358,27.07900638119803,226916.792,9932.05
no03,2022/10/18 09:30:00,930,09:30,0.9875167588380168,1.010299393776212,0.9981525582737966,26.664776035563243,243409.771,10373.55
no03,2022/10/18 09:45:00,945,09:45,0.9936444347555143,1.0092392519189683,1.00352433095529,27.908913528737635,225532.661,9980.2
no03,2022/10/18 10:00:00,1000,10:00,0.9993706147249614,1.0001459646768298,0.9996916204876133,25.922409976272924,255725.895,10697.8
no03,2022/10/18 10:15:00,1015,10:15,0.991668822855624,1.00746315498048,1.0000359414872588,25.115951750572897,249669.3075,9738.4
no03,2022/10/18 10:30:00,1030,10:30,0.993036054077278,1.0086460868563647,1.0003105224272146,28.089641382117584,212919.5385,9342.0
no03,2022/10/18 10:45:00,1045,10:45,0.995589105046048,1.0063963967257294,1.001276348656821,28.969347049079197,202760.5625,9139.25
no03,2022/10/18 11:00:00,1100,11:00,0.9943226194837501,1.0029850622929117,0.997068782533987,27.46257045773707,227571.8895,9864.5
no03,2022/10/18 11:15:00,1115,11:15,0.9905277786568475,1.011002852097978,1.00129873878034,26.98667943404937,238114.54100000003,10408.2
no03,2022/10/18 11:30:00,1130,11:30,0.9948709696529787,1.005243066599359,0.9994991086287962,28.0715853078212,209272.9195,9278.8
no03,2022/10/18 11:45:00,1145,11:45,0.9963740049585642,1.0031808851628283,0.9998079692750841,28.556680500024772,213015.6955,9371.7
no03,2022/10/18 12:00:00,1200,12:00,0.9929425296641231,1.004350491097446,0.9981767947336435,27.8555864474116,221723.89700000003,9772.6
no03,2022/10/18 12:15:00,1215,12:15,0.9937183549993953,1.006997065303138,1.001166597106638,28.121139956097704,228873.243,9955.05
no03,2022/10/18 12:30:00,1230,12:30,0.9972809064032219,1.0030612230828877,0.999850576311708,27.87845490736216,214250.027,9702.5
no03,2022/10/18 12:45:00,1245,12:45,0.9952748947157016,1.0027667324424767,0.999266436570512,28.89165620881557,212546.5785,9467.35
no03,2022/10/18 13:00:00,1300,13:00,0.997966315375765,1.0017846757750146,0.9982499883848788,28.65505712668143,219550.2635,9668.7
no03,2022/10/18 13:15:00,1315,13:15,0.9935399059144608,1.0069355086012235,0.9999288707965377,28.82355442747504,207596.292,9137.65
no03,2022/10/18 13:30:00,1330,13:30,0.9967034211380065,1.002761370218131,0.9998475991422009,28.294835625549347,205591.902,9184.9
no03,2022/10/18 13:45:00,1345,13:45,0.9967260009277745,1.0031959062397862,0.9987404309438208,28.45900868895161,186446.5725,8167.1
no03,2022/10/18 14:00:00,1400,14:00,0.9945591167916982,1.0064859426090385,1.0010843314111095,28.385603522082768,203308.1575,9139.95
no03,2022/10/18 14:15:00,1415,14:15,0.9943993783766084,1.0057587868138729,1.0002191271258005,28.248766325004983,217862.2465,9357.35
no03,2022/10/18 14:30:00,1430,14:30,0.9956803607522918,1.003998866734521,0.9997845518415563,29.04156239116253,211183.7255,9513.0
no03,2022/10/18 14:45:00,1445,14:45,0.9930574172477088,1.0048045574473485,0.998729060198758,28.60595244378048,212382.4425,9351.25
no03,2022/10/18 15:00:00,1500,15:00,0.9937869278368329,1.0040282081474283,0.998253103528837,27.028815641242467,223949.158,9400.25
no03,2022/10/18 15:15:00,1515,15:15,0.9831750565049929,1.0189475513347097,1.0017617563355468,26.80316750911584,228074.0465,9609.6
no03,2022/10/18 15:30:00,1530,15:30,0.9946616819883777,1.0053858113055554,0.9992965465342648,27.11041163467153,221846.8235,9162.6
no03,2022/10/18 15:45:00,1545,15:45,0.9895373597793097,1.0115257571769918,1.0012692413068154,27.31346305619229,212866.5475,8953.7
no03,2022/10/18 16:00:00,1600,16:00,0.98940383102059,1.007640036163977,0.9971380320067362,24.686035281908733,273391.495,10539.4
no03,2022/10/18 16:15:00,1615,16:15,0.9888865250109988,1.010842507645097,0.999613185652018,24.613472281992,270838.3825,10595.3
no03,2022/10/18 16:30:00,1630,16:30,0.9888031413674893,1.013118799475589,1.0007619123009257,23.874245768924983,266132.939,10113.85
no03,2022/10/18 16:45:00,1645,16:45,0.9946912293725907,1.0057776512220713,1.001140533807999,24.890691088492503,271693.8635,10489.5
no03,2022/10/18 17:00:00,1700,17:00,0.9802703326873785,1.0148194253622378,0.9968649350883683,23.91844742010695,294336.06,11049.55
no03,2022/10/18 17:15:00,1715,17:15,0.9794468127522857,1.0227677422424302,1.0005982556125823,26.200149923147485,276605.16000000003,11122.3
no03,2022/10/18 17:30:00,1730,17:30,0.9796455796972378,1.0194922332295564,0.9993201357839919,26.31686033236381,258153.8725,10583.15
