slot_code,HHMM,bus,nonbus,run
1645,16:45,203,10477,rand14
1645,16:45,224,10316,rand15
1645,16:45,220,10343,rand16
1645,16:45,203,10202,rand17
1645,16:45,194,10058,rand18
1645,16:45,208,10112,rand19
1645,16:45,206,10548,rand20
1700,17:00,360,10664,rand01
1700,17:00,364,10750,rand02
1700,17:00,346,10902,rand03
1700,17:00,412,10503,rand04
1700,17:00,395,10597,rand05
1700,17:00,329,10773,rand06
1700,17:00,379,10754,rand07
1700,17:00,360,10961,rand08
1700,17:00,363,10886,rand09
1700,17:00,350,10650,rand10
1700,17:00,340,10914,rand11
1700,17:00,362,10618,rand12
1700,17:00,387,10598,rand13
1700,17:00,345,10465,rand14
1700,17:00,371,10628,rand15
1700,17:00,362,10998,rand16
1700,17:00,393,10501,rand17
1700,17:00,352,10688,rand18
1700,17:00,350,10792,rand19
1700,17:00,386,10738,rand20
1715,17:15,310,10526,rand01
1715,17:15,317,10740,rand02
1715,17:15,290,10621,rand03
1715,17:15,228,11124,rand04
1715,17:15,303,10886,rand05
1715,17:15,311,10679,rand06
1715,17:15,305,10821,rand07
1715,17:15,308,10567,rand08
1715,17:15,283,10970,rand09
1715,17:15,298,10741,rand10
1715,17:15,315,10836,rand11
1715,17:15,292,10715,rand12
1715,17:15,299,10844,rand13
1715,17:15,290,10939,rand14
1715,17:15,299,11269,rand15
1715,17:15,304,10483,rand16
1715,17:15,262,10953,rand17
1715,17:15,327,10952,rand18
1715,17:15,285,10928,rand19
1715,17:15,292,10801,rand20
1730,17:30,298,10392,rand01
1730,17:30,248,10453,rand02
1730,17:30,280,10337,rand03
1730,17:30,332,10196,rand04
1730,17:30,266,10278,rand05
1730,17:30,308,10300,rand06
1730,17:30,249,10156,rand07
1730,17:30,284,10392,rand08
1730,17:30,292,10315,rand09
1730,17:30,309,10356,rand10
1730,17:30,283,10365,rand11
1730,17:30,282,10260,rand12
1730,17:30,247,10305,rand13
1730,17:30,296,10351,rand14
1730,17:30,297,10030,rand15
1730,17:30,262,10387,rand16
1730,17:30,297,10362,rand17
1730,17:30,292,10149,rand18
1730,17:30,306,10314,rand19
1730,17:30,297,10384,rand20
1745,17:45,223,10810,rand01
1745,17:45,323,10535,rand02
1745,17:45,276,10797,rand03
1745,17:45,253,10682,rand04
1745,17:45,288,10746,rand05
1745,17:45,230,10918,rand06
1745,17:45,311,10847,rand07
1745,17:45,257,10764,rand08
1745,17:45,275,10700,rand09
