slot_code,HHMM,car,bus,other,scenario,run
1015,10:15,9661,210,0,no01,rand09
1030,10:30,8999,317,0,no01,rand09
1045,10:45,8785,278,0,no01,rand09
1100,11:00,9595,234,0,no01,rand09
1115,11:15,10442,217,0,no01,rand09
1130,11:30,8886,252,0,no01,rand09
1145,11:45,9027,250,0,no01,rand09
1200,12:00,9664,216,0,no01,rand09
1215,12:15,9641,219,0,no01,rand09
1230,12:30,9393,318,0,no01,rand09
1245,12:45,9160,287,0,no01,rand09
1300,13:00,9438,257,0,no01,rand09
1315,13:15,8926,257,0,no01,rand09
1330,13:30,8980,268,0,no01,rand09
1345,13:45,7978,206,0,no01,rand09
1400,14:00,8983,305,0,no01,rand09
1415,14:15,8881,229,0,no01,rand09
1430,14:30,9226,292,0,no01,rand09
1445,14:45,9011,353,0,no01,rand09
1500,15:00,9102,257,0,no01,rand09
1515,15:15,9393,338,0,no01,rand09
1530,15:30,8893,278,0,no01,rand09
1545,15:45,8650,296,0,no01,rand09
1600,16:00,10225,261,0,no01,rand09
1615,16:15,10327,260,0,no01,rand09
1630,16:30,9972,251,0,no01,rand09
1645,16:45,10098,211,0,no01,rand09
1700,17:00,10886,363,0,no01,rand09
1715,17:15,10970,283,0,no01,rand09
1730,17:30,10315,292,0,no01,rand09
1745,17:45,10700,275,0,no01,rand09
1800,18:00,10943,312,0,no01,rand09
1815,18:15,10128,327,0,no01,rand09
1830,18:30,9117,227,0,no01,rand09
1845,18:45,8378,269,0,no01,rand09
0630,06:30,7807,261,0,no01,rand10
0645,06:45,8732,270,0,no01,rand10
0700,07:00,8498,273,0,no01,rand10
0715,07:15,10107,361,0,no01,rand10
0730,07:30,11049,325,0,no01,rand10
0745,07:45,11223,385,0,no01,rand10
0800,08:00,12032,532,0,no01,rand10
0815,08:15,11542,410,0,no01,rand10
0830,08:30,12547,404,0,no01,rand10
0845,08:45,11411,267,0,no01,rand10
0900,09:00,9999,395,0,no01,rand10
0915,09:15,9740,257,0,no01,rand10
0930,09:30,10016,350,0,no01,rand10
0945,09:45,9678,189,0,no01,rand10
1000,10:00,10508,315,0,no01,rand10
1015,10:15,9489,214,0,no01,rand10
1030,10:30,9102,351,0,no01,rand10
1045,10:45,8756,251,0,no01,rand10
1100,11:00,9772,221,0,no01,rand10
1115,11:15,10122,236,0,no01,rand10
1130,11:30,8912,231,0,no01,rand10
1145,11:45,9184,256,0,no01,rand10
1200,12:00,9663,222,0,no01,rand10
1215,12:15,9489,237,0,no01,rand10
1230,12:30,9467,283,0,no01,rand10
1245,12:45,9163,308,0,no01,rand10
1300,13:00,9517,279,0,no01,rand10
1315,13:15,8660,200,0,no01,rand10
1330,13:30,9061,293,0,no01,rand10
1345,13:45,7963,233,0,no01,rand10
1400,14:00,8834,310,0,no01,rand10
1415,14:15,9031,184,0,no01,rand10
1430,14:30,9345,297,0,no01,rand10
1445,14:45,9029,369,0,no01,rand10
1500,15:00,9173,279,0,no01,rand10
1515,15:15,9277,269,0,no01,rand10
1530,15:30,8920,322,0,no01,rand10
1545,15:45,8636,267,0,no01,rand10
1600,16:00,10165,309,0,no01,rand10
1615,16:15,10385,247,0,no01,rand10
1630,16:30,9939,255,0,no01,rand10
1645,16:45,10184,206,0,no01,rand10
1700,17:00,10650,350,0,no01,rand10
1715,17:15,10741,298,0,no01,rand10
1730,17:30,10356,309,0,no01,rand10
1745,17:45,10782,232,0,no01,rand10
1800,18:00,10935,365,0,no01,rand10
1815,18:15,9956,293,0,no01,rand10
1830,18:30,9188,241,0,no01,rand10
1845,18:45,8518,282,0,no01,rand10
0630,06:30,7665,261,0,no01,rand11
0645,06:45,8913,282,0,no01,rand11
0700,07:00,8333,272,0,no01,rand11
0715,07:15,10104,306,0,no01,rand11
0730,07:30,11091,369,0,no01,rand11
0745,07:45,11457,410,0,no01,rand11
0800,08:00,11615,465,0,no01,rand11
0815,08:15,11865,435,0,no01,rand11
0830,08:30,12741,379,0,no01,rand11
0845,08:45,11381,331,0,no01,rand11
0900,09:00,10105,381,0,no01,rand11
0915,09:15,9689,241,0,no01,rand11
0930,09:30,9995,352,0,no01,rand11
0945,09:45,9607,208,0,no01,rand11
1000,10:00,10531,314,0,no01,rand11
1015,10:15,9504,205,0,no01,rand11
1030,10:30,9061,331,0,no01,rand11
1045,10:45,8886,282,0,no01,rand11
1100,11:00,9723,210,0,no01,rand11
1115,11:15,10082,209,0,no01,rand11
1130,11:30,8974,222,0,no01,rand11
1145,11:45,9226,303,0,no01,rand11
1200,12:00,9519,183,0,no01,rand11
1215,12:15,9616,269,0,no01,rand11
1230,12:30,9298,240,0,no01,rand11
1245,12:45,9323,351,0,no01,rand11
1300,13:00,9562,278,0,no01,rand11
1315,13:15,8783,214,0,no01,rand11
1330,13:30,8786,252,0,no01,rand11
1345,13:45,8036,226,0,no01,rand11
1400,14:00,9047,321,0,no01,rand11
1415,14:15,9003,223,0,no01,rand11
1430,14:30,9072,296,0,no01,rand11
1445,14:45,9179,354,0,no01,rand11
1500,15:00,9188,253,0,no01,rand11
1515,15:15,9091,366,0,no01,rand11
1530,15:30,8974,252,0,no01,rand11
1545,15:45,8621,265,0,no01,rand11
1600,16:00,10394,283,0,no01,rand11
1615,16:15,10312,295,0,no01,rand11
1630,16:30,9918,208,0,no01,rand11
1645,16:45,9998,240,0,no01,rand11
1700,17:00,10914,340,0,no01,rand11
1715,17:15,10836,315,0,no01,rand11
1730,17:30,10365,283,0,no01,rand11
1745,17:45,10713,244,0,no01,rand11
1800,18:00,10670,382,0,no01,rand11
1815,18:15,10143,264,0,no01,rand11
1830,18:30,9364,241,0,no01,rand11
1845,18:45,8437,283,0,no01,rand11
0630,06:30,7467,243,0,no01,rand12
0645,06:45,8800,268,0,no01,rand12
0700,07:00,8635,286,0,no01,rand12
0715,07:15,10398,320,0,no01,rand12
0730,07:30,10998,352,0,no01,rand12
0745,07:45,11290,450,0,no01,rand12
0800,08:00,11685,445,0,no01,rand12
0815,08:15,11692,427,0,no01,rand12
0830,08:30,12661,383,0,no01,rand12
0845,08:45,11297,326,0,no01,rand12
0900,09:00,10034,419,0,no01,rand12
0915,09:15,9795,210,0,no01,rand12
0930,09:30,9871,331,0,no01,rand12
0945,09:45,9732,236,0,no01,rand12
1000,10:00,10346,310,0,no01,rand12
1015,10:15,9563,202,0,no01,rand12
1030,10:30,9038,304,0,no01,rand12
1045,10:45,8764,325,0,no01,rand12
1100,11:00,9730,204,0,no01,rand12
1115,11:15,10427,213,0,no01,rand12
1130,11:30,8977,216,0,no01,rand12
1145,11:45,8982,280,0,no01,rand12
1200,12:00,9579,217,0,no01,rand12
1215,12:15,9818,229,0,no01,rand12
1230,12:30,9131,284,0,no01,rand12
1245,12:45,9545,316,0,no01,rand12
1300,13:00,9256,291,0,no01,rand12
1315,13:15,8756,219,0,no01,rand12
1330,13:30,9022,265,0,no01,rand12
1345,13:45,7856,233,0,no01,rand12
1400,14:00,8659,248,0,no01,rand12
1415,14:15,9295,275,0,no01,rand12
1430,14:30,9342,278,0,no01,rand12
1445,14:45,8729,333,0,no01,rand12
1500,15:00,9205,302,0,no01,rand12
1515,15:15,9496,328,0,no01,rand12
1530,15:30,8888,296,0,no01,rand12
1545,15:45,8606,239,0,no01,rand12
1600,16:00,10424,290,0,no01,rand12
1615,16:15,10048,274,0,no01,rand12
1630,16:30,10002,228,0,no01,rand12
1645,16:45,10425,244,0,no01,rand12
1700,17:00,10618,362,0,no01,rand12
1715,17:15,10715,292,0,no01,rand12
1730,17:30,10260,282,0,no01,rand12
1745,17:45,10705,267,0,no01,rand12
1800,18:00,10794,325,0,no01,rand12
1815,18:15,10084,261,0,no01,rand12
1830,18:30,9302,277,0,no01,rand12
1845,18:45,8638,316,0,no01,rand12
0630,06:30,7684,229,0,no01,rand13
0645,06:45,8685,301,0,no01,rand13
0700,07:00,8717,271,0,no01,rand13
0715,07:15,10372,323,0,no01,rand13
0730,07:30,10781,320,0,no01,rand13
0745,07:45,11295,411,0,no01,rand13
0800,08:00,11822,501,0,no01,rand13
0815,08:15,11743,419,0,no01,rand13
0830,08:30,12209,380,0,no01,rand13
0845,08:45,11722,319,0,no01,rand13
0900,09:00,10044,416,0,no01,rand13
0915,09:15,9680,251,0,no01,rand13
0930,09:30,9874,342,0,no01,rand13
0945,09:45,9900,218,0,no01,rand13
1000,10:00,10243,299,0,no01,rand13
1015,10:15,9568,221,0,no01,rand13
1030,10:30,9093,300,0,no01,rand13
1045,10:45,8795,288,0,no01,rand13
1100,11:00,9734,212,0,no01,rand13
1115,11:15,10133,237,0,no01,rand13
1130,11:30,9169,265,0,no01,rand13
1145,11:45,9045,229,0,no01,rand13
1200,12:00,9576,219,0,no01,rand13
1215,12:15,9711,234,0,no01,rand13
1230,12:30,9435,298,0,no01,rand13
1245,12:45,9113,321,0,no01,rand13
1300,13:00,9369,256,0,no01,rand13
1315,13:15,9224,233,0,no01,rand13
1330,13:30,8839,226,0,no01,rand13
1345,13:45,7724,245,0,no01,rand13
1400,14:00,9023,303,0,no01,rand13
1415,14:15,8991,243,0,no01,rand13
1430,14:30,9060,264,0,no01,rand13
1445,14:45,9140,376,0,no01,rand13
1500,15:00,9405,249,0,no01,rand13
1515,15:15,9210,382,0,no01,rand13
1530,15:30,8941,244,0,no01,rand13
1545,15:45,8495,288,0,no01,rand13
1600,16:00,10317,267,0,no01,rand13
1615,16:15,10352,273,0,no01,rand13
1630,16:30,9549,260,0,no01,rand13
1645,16:45,10452,173,0,no01,rand13
1700,17:00,10598,387,0,no01,rand13
1715,17:15,10844,299,0,no01,rand13
1730,17:30,10305,247,0,no01,rand13
1745,17:45,10939,275,0,no01,rand13
1800,18:00,10768,376,0,no01,rand13
1815,18:15,9956,282,0,no01,rand13
1830,18:30,9264,234,0,no01,rand13
1845,18:45,8629,310,0,no01,rand13
0630,06:30,7717,262,0,no01,rand14
0645,06:45,8865,241,0,no01,rand14
0700,07:00,8427,303,0,no01,rand14
0715,07:15,10140,343,0,no01,rand14
0730,07:30,11277,322,0,no01,rand14
0745,07:45,11151,397,0,no01,rand14
0800,08:00,12084,532,0,no01,rand14
0815,08:15,11647,341,0,no01,rand14
0830,08:30,12230,431,0,no01,rand14
0845,08:45,11348,305,0,no01,rand14
0900,09:00,10235,420,0,no01,rand14
0915,09:15,9620,225,0,no01,rand14
