slot_code,scenario,V_net_mean,TTT_mean,bus_mean,HHMM
1100,no06,27.284358503558057,229382.9261111111,205.7,11:00
1115,no06,26.94458364466196,238875.4611111111,226.4,11:15
1130,no06,27.91674975586656,210623.54611111112,247.2,11:30
1145,no06,28.339344334443776,215086.23777777777,249.25,11:45
1200,no06,27.87068888974856,221057.40777777776,224.65,12:00
1215,no06,28.03983899997624,230648.56666666668,241.6,12:15
1230,no06,27.78303571925331,215732.4633333333,276.85,12:30
1245,no06,28.83770565946829,214014.03055555557,309.1,12:45
1300,no06,28.62615842230961,219207.3211111111,275.2,13:00
1315,no06,28.71737605172077,208472.68777777776,240.7,13:15
1330,no06,28.26877845470525,205489.85055555555,262.4,13:30
1345,no06,28.42454094416705,186499.49,209.6,13:45
1400,no06,28.249702198527174,204783.6038888889,310.75,14:00
1415,no06,28.36761129749199,216986.90777777776,224.45,14:15
1430,no06,28.89923251569299,211827.7772222222,288.2,14:30
1445,no06,28.49108436065414,213594.0183333333,355.55,14:45
1500,no06,26.99123494122301,224944.9233333333,259.9,15:00
1515,no06,26.73445129335073,228997.39111111112,346.45,15:15
1530,no06,27.00822639151732,221876.03055555557,280.8,15:30
1545,no06,27.2323523237018,214089.135,264.6,15:45
1600,no06,24.5376445477724,274431.75666666665,283.1,16:00
1615,no06,24.460481043739826,271913.4983333333,266.8,16:15
1630,no06,23.61025745350777,270793.0238888889,240.25,16:30
1645,no06,24.871615266187334,273248.3483333333,211.35,16:45
1700,no06,23.79212522320969,294386.3255555556,365.3,17:00
1715,no06,26.229465046622177,275826.41833333333,295.9,17:15
1730,no06,26.28101450594489,258128.7483333333,286.25,17:30
1745,no06,25.03432228715501,280578.3538888889,265.05,17:45
1800,no06,24.97234531317163,282361.9927777778,330.9,18:00
1815,no06,25.487477515756723,259304.7488888889,294.5,18:15
1830,no06,27.05268761161527,225918.7438888889,239.1,18:30
700,no07,26.466253616044614,211035.79666666663,275.45,07:00
715,no07,25.850081715517536,257831.835,352.15,07:15
730,no07,24.161448326284876,296809.8711111111,323.75,07:30
745,no07,24.31044793346492,289473.0927777777,418.75,07:45
800,no07,23.327019526853505,327985.10055555555,460.2,08:00
815,no07,24.083516861904656,322812.5788888889,427.6,08:15
830,no07,23.897215857093773,331513.86833333335,396.7,08:30
845,no07,24.05492605324177,312232.07944444445,305.25,08:45
900,no07,25.40831655147697,269714.1883333333,409.65,09:00
915,no07,26.70053510626867,230591.6588888889,232.35,09:15
930,no07,26.257131715324395,246540.61166666663,344.75,09:30
945,no07,27.470187519325385,229668.64944444445,222.55,09:45
1000,no07,24.982836885940827,263381.0572222222,312.3,10:00
1015,no07,23.921212335587107,262427.2394444444,201.25,10:15
