scenario,timestr,slot_code,V_net_mean,V_net_std,TTT_mean,TTT_std,flow_kmveh_mean,flow_kmveh_std
no03,2022/10/18 13:15:00,1315,28.813427644835087,0.30625891368802444,207750.4638888889,5178.081700491639,1662.4570166666667,30.136269184650374
no03,2022/10/18 13:30:00,1330,28.30446662086876,0.18773189007295632,205427.7111111111,4321.518883774787,1615.0944944444445,33.12673222591716
no03,2022/10/18 13:45:00,1345,28.444783314242297,0.2602240175567385,186321.8022222222,3504.0450397077766,1472.0631888888888,23.541860938509185
no03,2022/10/18 14:00:00,1400,28.358483990084945,0.30840929991085747,203742.95333333334,5144.897617326946,1604.6716222222221,31.141112813006842
no03,2022/10/18 14:15:00,1415,28.199168897297742,0.3994605241999663,218347.0861111111,7269.955364526092,1709.6832222222222,38.38819497183926
no03,2022/10/18 14:30:00,1430,29.03113242679294,0.29343946368590496,211244.6461111111,5514.885535427938,1703.1746666666668,31.977858223059837
no03,2022/10/18 14:45:00,1445,28.57880489583984,0.4788466895584962,212338.41444444444,6638.959113345494,1684.9902,34.44383089136488
no03,2022/10/18 15:00:00,1500,27.021871538756894,0.5104298336319341,224411.1472222222,5996.550683393216,1683.865172222222,31.56456304165101
no03,2022/10/18 15:15:00,1515,26.78263162186478,0.5138849990404335,227584.2288888889,5341.078238703463,1692.5645833333335,23.953350479538177
no03,2022/10/18 15:30:00,1530,27.034106241827317,0.3404808889989449,223030.33055555556,4225.320752833232,1674.6034555555555,24.799846616158053
no03,2022/10/18 15:45:00,1545,27.29470728747981,0.448747828881961,212454.115,5272.481612700207,1610.2426444444445,19.80408726914196
no03,2022/10/18 16:00:00,1600,24.700395071855766,0.400466946650024,273489.705,6589.548108045805,1875.847261111111,21.896053666011838
no03,2022/10/18 16:15:00,1615,24.634667891277203,0.34580424990382086,270686.03833333333,6446.174275647128,1851.8480000000002,29.528140058953568
no03,2022/10/18 16:30:00,1630,23.850821970071603,0.6596883132404695,265917.70722222223,9632.792379346582,1760.2623944444445,29.47773538058198
no03,2022/10/18 16:45:00,1645,24.810512010914465,0.6902309684490454,272960.4583333333,9289.193477630966,1879.6965444444443,28.935553833694122
no03,2022/10/18 17:00:00,1700,23.941106993413072,0.7775670952680586,294378.05555555556,10813.494570260333,1955.6728833333336,27.85101740883719
no03,2022/10/18 17:15:00,1715,26.25564643074193,0.5789634135594871,275816.84444444446,7733.264144907304,2010.7498055555557,39.875350462254374
no03,2022/10/18 17:30:00,1730,26.34054057612606,0.6595009474877337,257909.4188888889,7810.2833173164445,1885.862922222222,25.263271988811177
no03,2022/10/18 17:45:00,1745,25.265330230389512,0.9419008828227798,279244.2127777778,12285.632013610712,1956.9476111111112,31.34422811287007
no03,2022/10/18 18:00:00,1800,25.264175885855387,0.7749432036118327,278243.68,8553.48696802381,1951.0449833333332,22.600138763869907
no03,2022/10/18 18:15:00,1815,25.89987813148138,0.9085806742835959,254949.22222222222,8374.95981798371,1832.3464611111112,23.347231410500456
no03,2022/10/18 18:30:00,1830,27.236564365406693,0.7859764633968642,224258.2288888889,10603.557735954306,1694.5992111111111,37.12139597970717
no04,2022/10/18 07:00:00,0700,26.85313983101108,0.3798556240799859,208412.88333333333,4132.432876744641,1554.3636166666665,26.043627982748937
no04,2022/10/18 07:15:00,0715,26.40695596513462,0.44062089732131643,252316.72055555554,5118.489537424414,1850.3217666666667,21.616113483831512
no04,2022/10/18 07:30:00,0730,24.79775838549171,0.3399109850744092,289742.9366666667,5277.755397676738,1995.3986333333332,16.20251529398335
no04,2022/10/18 07:45:00,0745,24.99205074444747,0.4603351836747611,281375.1061111111,7378.898048217606,1952.5856555555556,25.24392255501891
no04,2022/10/18 08:00:00,0800,23.832908206974817,0.8176085512743023,321511.7672222222,12602.510110477182,2125.985722222222,31.35851883716217
no04,2022/10/18 08:15:00,0815,24.52785661226413,0.6673032179475835,317280.79,10570.389800098332,2159.962238888889,23.80944735542501
