scenario,timestr,slot_code,subset,V_net_mean,TTT_mean,flow_kmveh_mean
no05,2022/10/18 15:45:00,1545,all,27.25684459778213,212960.455,1611.8238666666666
no05,2022/10/18 16:00:00,1600,all,24.585760092192064,274250.0511111111,1872.499411111111
no05,2022/10/18 16:15:00,1615,all,24.434636397299585,273389.4427777778,1854.8842611111113
no05,2022/10/18 16:30:00,1630,all,23.667172879386115,267679.83944444446,1758.6947388888889
no05,2022/10/18 16:45:00,1645,all,24.745275235701214,274241.34277777775,1884.1012666666668
no05,2022/10/18 17:00:00,1700,all,24.021644517093414,293268.36888888886,1955.3974166666667
no05,2022/10/18 17:15:00,1715,all,26.220700214389737,275638.6411111111,2007.3278999999998
no05,2022/10/18 17:30:00,1730,all,26.233908996442082,258423.88611111112,1882.2976777777778
no05,2022/10/18 17:45:00,1745,all,25.08458282912746,281510.2522222222,1959.390138888889
no05,2022/10/18 18:00:00,1800,all,25.046575550762025,280937.74166666664,1952.5439000000001
no05,2022/10/18 18:15:00,1815,all,25.683573807416607,257185.54111111112,1831.35525
no05,2022/10/18 18:30:00,1830,all,27.116523209862933,225521.3827777778,1696.5367055555555
no06,2022/10/18 07:00:00,0700,all,26.82243752539207,208565.4188888889,1553.6407555555554
no06,2022/10/18 07:15:00,0715,all,26.34295777775193,252991.15611111114,1850.5917888888887
no06,2022/10/18 07:30:00,0730,all,24.74211679970192,290587.7216666667,1996.5924944444446
no06,2022/10/18 07:45:00,0745,all,24.971589039105325,281670.2683333333,1952.7284833333333
no06,2022/10/18 08:00:00,0800,all,23.765405849795354,321957.4194444444,2123.416872222222
no06,2022/10/18 08:15:00,0815,all,24.510355600625424,317541.90722222225,2160.3301055555553
no06,2022/10/18 08:30:00,0830,all,24.31789747622695,325345.0805555556,2197.1370055555553
no06,2022/10/18 08:45:00,0845,all,24.405097961928014,307043.2111111111,2079.8625333333334
no06,2022/10/18 09:00:00,0900,all,25.920358660527008,264589.1883333333,1904.0636166666668
no06,2022/10/18 09:15:00,0915,all,26.759149507618808,228096.94833333333,1694.0047277777778
no06,2022/10/18 09:30:00,0930,all,26.657101611784288,243810.16666666666,1804.0551555555555
no06,2022/10/18 09:45:00,0945,all,27.927130572223557,225390.46277777778,1747.9460277777778
no06,2022/10/18 10:00:00,1000,all,25.439808450119468,260055.13222222222,1836.9012055555556
no06,2022/10/18 10:15:00,1015,all,24.833514026533663,253306.13,1742.7195833333333
no06,2022/10/18 10:30:00,1030,all,27.807083396510038,214990.1911111111,1658.991961111111
no06,2022/10/18 10:45:00,1045,all,28.824903466813794,204409.27833333335,1636.4856388888888
no06,2022/10/18 11:00:00,1100,all,27.284358503558057,229382.9261111111,1738.1856722222224
no06,2022/10/18 11:15:00,1115,all,26.94458364466196,238875.4611111111,1787.2775444444444
no06,2022/10/18 11:30:00,1130,all,27.91674975586656,210623.54611111112,1632.9528833333334
no06,2022/10/18 11:45:00,1145,all,28.339344334443776,215086.23777777777,1692.7482277777779
no06,2022/10/18 12:00:00,1200,all,27.87068888974856,221057.40777777776,1711.1786111111112
no06,2022/10/18 12:15:00,1215,all,28.039838999976237,230648.56666666668,1796.2374166666666
no06,2022/10/18 12:30:00,1230,all,27.78303571925331,215732.46333333332,1664.6900166666667
no06,2022/10/18 12:45:00,1245,all,28.837705659468295,214014.03055555554,1714.041538888889
no06,2022/10/18 13:00:00,1300,all,28.62615842230961,219207.3211111111,1742.8878611111113
no06,2022/10/18 13:15:00,1315,all,28.717376051720766,208472.68777777778,1662.774572222222
no06,2022/10/18 13:30:00,1330,all,28.268778454705252,205489.85055555555,1613.3773055555555
no06,2022/10/18 13:45:00,1345,all,28.424540944167052,186499.49,1472.4289722222222
no06,2022/10/18 14:00:00,1400,all,28.249702198527178,204783.6038888889,1606.7014833333333
no06,2022/10/18 14:15:00,1415,all,28.36761129749199,216986.90777777776,1709.3477444444443
no06,2022/10/18 14:30:00,1430,all,28.89923251569299,211827.7772222222,1700.2226555555555
no06,2022/10/18 14:45:00,1445,all,28.49108436065414,213594.01833333334,1690.206088888889
no06,2022/10/18 15:00:00,1500,all,26.991234941223006,224944.92333333334,1685.919838888889
no06,2022/10/18 15:15:00,1515,all,26.73445129335073,228997.39111111112,1700.258561111111
no06,2022/10/18 15:30:00,1530,all,27.00822639151732,221876.03055555554,1664.1887722222223
no06,2022/10/18 15:45:00,1545,all,27.232352323701797,214089.135,1618.8461555555557
no06,2022/10/18 16:00:00,1600,all,24.537644547772402,274431.75666666665,1870.3042222222223
no06,2022/10/18 16:15:00,1615,all,24.460481043739826,271913.4983333333,1847.0949722222222
no06,2022/10/18 16:30:00,1630,all,23.610257453507774,270793.0238888889,1773.2331166666668
no06,2022/10/18 16:45:00,1645,all,24.871615266187334,273248.3483333333,1886.6673944444447
no06,2022/10/18 17:00:00,1700,all,23.79212522320969,294386.3255555556,1944.5698055555558
no06,2022/10/18 17:15:00,1715,all,26.229465046622177,275826.41833333333,2008.4455166666667
no06,2022/10/18 17:30:00,1730,all,26.28101450594489,258128.74833333332,1883.769361111111
no06,2022/10/18 17:45:00,1745,all,25.034322287155014,280578.3538888889,1949.6912555555557
no06,2022/10/18 18:00:00,1800,all,24.97234531317163,282361.9927777778,1956.8744166666668
no06,2022/10/18 18:15:00,1815,all,25.487477515756723,259304.74888888886,1832.7978666666668
no06,2022/10/18 18:30:00,1830,all,27.05268761161527,225918.7438888889,1695.929561111111
no07,2022/10/18 07:00:00,0700,all,26.466253616044618,211035.79666666666,1550.904288888889
no07,2022/10/18 07:15:00,0715,all,25.850081715517536,257831.83500000002,1850.8261166666666
no07,2022/10/18 07:30:00,0730,all,24.161448326284873,296809.8711111111,1990.5822333333333
no07,2022/10/18 07:45:00,0745,all,24.310447933464918,289473.09277777775,1953.2288055555555
no07,2022/10/18 08:00:00,0800,all,23.327019526853505,327985.10055555555,2124.3781
no07,2022/10/18 08:15:00,0815,all,24.083516861904656,322812.5788888889,2157.6112166666667
no07,2022/10/18 08:30:00,0830,all,23.897215857093773,331513.86833333335,2200.2042666666666
no07,2022/10/18 08:45:00,0845,all,24.054926053241772,312232.07944444445,2083.9067777777777
