route_id,tolerance,start_speed_kmh,end_speed_kmh,width_kmh,n_points,relative_range,min_ttt,max_ttt
D30_H02,0.05,42.5,47.5,5.0,3,0.049319291035191615,144.6315789473682,151.76470588235276
D30_H02,0.05,47.5,50.0,2.5,2,0.03901996370235814,139.19999999999996,144.6315789473682
D30_H03,0.05,35.0,47.5,12.5,6,0.028880866425992788,174.94736842105263,180.0
D30_H03,0.05,47.5,50.0,2.5,2,0.02668642405298468,170.40000171661376,174.94736842105263
D30_H04,0.05,30.0,40.0,10.0,5,0.045333333333331734,180.0,188.1599999999997
D30_H04,0.05,42.5,45.0,2.5,2,0.02903873744619775,164.0,168.76235294117643
D30_H04,0.05,45.0,47.5,2.5,2,0.026350461133069866,159.78947368421052,164.0
D30_H04,0.05,47.5,50.0,2.5,2,0.024291497975708464,156.0,159.78947368421052
D30_H05,0.05,30.0,40.0,10.0,5,0.03483959986202123,173.94000000000003,180.0
D30_H05,0.05,40.0,42.5,2.5,2,0.03102510460251176,168.705882352941,173.94000000000003
D30_H05,0.05,42.5,45.0,2.5,2,0.028694404591103593,164.0,168.705882352941
D30_H05,0.05,45.0,47.5,2.5,2,0.026350461133069866,159.78947368421052,164.0
D30_H05,0.05,47.5,50.0,2.5,2,0.024291485452112536,156.00000190734863,159.78947368421052
D30_H06,0.05,30.0,40.0,10.0,5,0.03483957716684051,173.94000381469732,180.0
D30_H06,0.05,40.0,42.5,2.5,2,0.027071546366099163,169.35529411764708,173.94000381469732
D30_H06,0.05,42.5,45.0,2.5,2,0.02465689837408778,165.28000190734855,169.35529411764708
D30_H06,0.05,45.0,47.5,2.5,2,0.030288725800401345,160.4210526315789,165.28000190734855
D30_H06,0.05,47.5,50.0,2.5,2,0.04440789473684088,153.60000000000014,160.4210526315789
D30_H07,0.05,30.0,37.5,7.5,4,0.03648424543946974,173.66399999999993,180.0
D30_H07,0.05,42.5,47.5,5.0,3,0.04970973542255302,144.63157894736815,151.82117647058791
D30_H07,0.05,45.0,50.0,5.0,3,0.04519773166572174,141.6000011444091,148.0
D50_311,0.05,27.5,37.5,10.0,5,0.02272725056025639,176.0000038146973,180.0
D50_311,0.05,37.5,40.0,2.5,2,0.029239788390042654,171.0,176.0000038146973
D50_311,0.05,40.0,42.5,2.5,2,0.035256410256412865,165.17647058823488,171.0
D50_311,0.05,42.5,45.0,2.5,2,0.049850448654035366,157.33333333333331,165.17647058823488
D50_311,0.05,45.0,47.5,2.5,2,0.046685340802987675,150.31578947368422,157.33333333333331
D50_311,0.05,47.5,50.0,2.5,2,0.04385964912280708,144.0,150.31578947368422
D50_312,0.05,35.0,42.5,7.5,4,0.04938271604938305,171.52941176470583,180.0
D50_312,0.05,42.5,45.0,2.5,2,0.04591104734576724,164.0,171.52941176470583
D50_312,0.05,45.0,47.5,2.5,2,0.026350461133071327,159.7894736842103,164.0
D50_312,0.05,47.5,50.0,2.5,2,0.024291497975707007,156.0,159.7894736842103
D50_313,0.05,25.0,30.0,5.0,3,0.041666666666666664,288.0,300.0
D50_313,0.05,40.0,47.5,7.5,4,0.016666666666666666,180.0,183.0
D50_314,0.05,25.0,27.5,2.5,2,0.0,240.0,240.0
D50_314,0.05,37.5,45.0,7.5,4,0.03053437298490823,174.66666666666666,180.0000038146973
D50_314,0.05,42.5,47.5,5.0,3,0.043412198827869314,171.15789473684208,178.5882352941174
D50_314,0.05,45.0,50.0,5.0,3,0.039682539682539625,168.0,174.66666666666666
D50_321,0.05,25.0,27.5,2.5,2,0.0,240.0,240.0
D50_321,0.05,37.5,42.5,5.0,3,0.022222222222222223,180.0,184.0
D50_321,0.05,40.0,45.0,5.0,3,0.030534351145038392,174.66666666666663,180.0
D50_321,0.05,45.0,50.0,5.0,3,0.03968253968253946,168.0,174.66666666666663
