route_id,pattern_group,pattern_id,design_speed_kmh,n_speed_points,d_min_over_speed,d_max_over_speed,d_range_over_speed,d_relative_range,TTT_min_over_speed,TTT_max_over_speed,TTT_range_over_speed,TTT_relative_range,FTT_min_over_speed,FTT_max_over_speed,V_d_opt_min_kmh,V_d_opt_max_kmh,V_TTT_opt_min_kmh,V_TTT_opt_max_kmh,V_d_opt_repr_kmh,V_TTT_opt_repr_kmh,delta_V_opt_kmh,optbased_5pct_exists,optbased_5pct_start_speed,optbased_5pct_end_speed,optbased_5pct_width_kmh,optbased_5pct_n_points,optbased_5pct_min_ttt,optbased_5pct_max_ttt_in_interval,optbased_5pct_relative_range,rangebased_5pct_exists,rangebased_5pct_start_speed,rangebased_5pct_end_speed,rangebased_5pct_width_kmh,rangebased_5pct_n_points,rangebased_5pct_min_ttt_in_interval,rangebased_5pct_max_ttt_in_interval,rangebased_5pct_relative_range,optbased_10pct_exists,optbased_10pct_start_speed,optbased_10pct_end_speed,optbased_10pct_width_kmh,optbased_10pct_n_points,optbased_10pct_min_ttt,optbased_10pct_max_ttt_in_interval,optbased_10pct_relative_range,rangebased_10pct_exists,rangebased_10pct_start_speed,rangebased_10pct_end_speed,rangebased_10pct_width_kmh,rangebased_10pct_n_points,rangebased_10pct_min_ttt_in_interval,rangebased_10pct_max_ttt_in_interval,rangebased_10pct_relative_range
D30_334,basic,334,30.0,13,27.0,46.90909194946289,19.90909194946289,0.737373775906033,100.80000152587893,198.0,97.19999847412107,0.964285684550971,68.4,171.00000000000003,20.0,20.0,50.0,50.0,20.0,50.0,30.0,False,,,0.0,0,100.80000152587893,,,True,37.5,45.0,7.5,4,116.0,120.00000305175786,0.034482784928947054,True,47.5,50.0,2.5,2,100.80000152587893,107.9999999999996,0.07142855520961655,True,35.0,45.0,10.0,5,116.0,126.8571428571424,0.0935960591132966
D30_H01,hce,H01,30.0,13,0.0,48.0,48.0,,156.0,312.0,156.0,1.0,108.0,270.00000000000006,30.0,30.0,50.0,50.0,30.0,50.0,20.0,True,47.5,50.0,2.5,2,156.0,159.78947368421052,0.024291497975708464,True,30.0,40.0,10.0,5,174.0,180.0,0.034482758620689655,True,42.5,50.0,7.5,4,156.0,168.70588235294122,0.08144796380090523,True,30.0,45.0,15.0,7,164.0,180.0,0.0975609756097561
D30_H02,hce,H02,30.0,13,7.199999809265137,46.105262756347656,38.90526294708252,5.4035088857944515,139.19999999999996,275.99999999999955,136.79999999999959,0.9827586206896525,93.6,234.00000000000009,25.0,25.0,50.0,50.0,25.0,50.0,25.0,True,47.5,50.0,2.5,2,139.19999999999996,144.6315789473682,0.03901996370235814,True,27.5,32.5,5.0,3,172.61538461538464,180.0,0.04278074866310145,True,42.5,50.0,7.5,4,139.19999999999996,151.76470588235276,0.09026369168356897,True,40.0,47.5,7.5,4,144.6315789473682,156.0,0.0786026200873378
D30_H03,hce,H03,30.0,13,5.142857074737549,53.880001068115234,48.737143993377686,9.476667013124189,170.40000171661376,359.8800007152558,189.47999899864203,1.1119718139073704,122.4,306.0,35.0,35.0,50.0,50.0,35.0,50.0,15.0,True,47.5,50.0,2.5,2,170.40000171661376,174.94736842105263,0.02668642405298468,True,35.0,47.5,12.5,6,174.94736842105263,180.0,0.028880866425992788,True,35.0,50.0,15.0,7,170.40000171661376,180.0,0.05633801752743912,True,35.0,50.0,15.0,7,170.40000171661376,180.0,0.05633801752743912
D30_H04,hce,H04,30.0,13,4.079999923706055,45.55199813842773,41.47199821472167,10.1647056348596,156.0,312.12,156.12,1.0007692307692309,110.448,276.12,30.0,30.0,50.0,50.0,30.0,50.0,20.0,True,47.5,50.0,2.5,2,156.0,159.78947368421052,0.024291497975708464,True,30.0,40.0,10.0,5,180.0,188.1599999999997,0.045333333333331734,True,42.5,50.0,7.5,4,156.0,168.76235294117643,0.08180995475113097,True,32.5,45.0,12.5,6,164.0,180.0,0.0975609756097561
D30_H05,hce,H05,30.0,13,4.079999923706055,50.448001861572266,46.36800193786621,11.36470656983444,156.00000190734863,300.0,143.99999809265137,0.923076899564243,105.552,263.88000000000005,30.0,30.0,50.0,50.0,30.0,50.0,20.0,True,47.5,50.0,2.5,2,156.00000190734863,159.78947368421052,0.024291485452112536,True,30.0,40.0,10.0,5,173.94000000000003,180.0,0.03483959986202123,True,42.5,50.0,7.5,4,156.00000190734863,168.705882352941,0.08144795057847896,True,30.0,45.0,15.0,7,164.0,180.0,0.0975609756097561
D30_H06,hce,H06,30.0,13,-1.1368683772161605e-13,46.73684310913086,46.73684310913097,,153.60000000000014,300.0,146.39999999999986,0.9531249999999982,108.0,270.0,30.0,30.0,50.0,50.0,30.0,50.0,20.0,True,47.5,50.0,2.5,2,153.60000000000014,160.4210526315789,0.04440789473684088,True,30.0,40.0,10.0,5,173.94000381469732,180.0,0.03483957716684051,True,45.0,50.0,5.0,3,153.60000000000014,165.28000190734855,0.07604167908429948,True,30.0,45.0,15.0,7,165.28000190734855,180.0,0.08906097484741729
D30_H07,hce,H07,30.0,13,0.0,38.560001373291016,38.560001373291016,,141.6000011444091,300.0,158.3999988555909,1.1186440506737603,108.0,270.00000000000006,30.0,30.0,50.0,50.0,30.0,50.0,20.0,True,45.0,50.0,5.0,3,141.6000011444091,148.0,0.04519773166572174,True,30.0,37.5,7.5,4,173.66399999999993,180.0,0.03648424543946974,True,42.5,50.0,7.5,4,141.6000011444091,151.82117647058791,0.07218344098567388,True,30.0,37.5,7.5,4,173.66399999999993,180.0,0.03648424543946974
D50_311,basic,311,50.0,13,5.454545497894287,52.235294342041016,46.78074884414673,8.576470553267237,144.0,264.0,120.0,0.8333333333333334,96.0,240.0,27.5,27.5,50.0,50.0,27.5,50.0,22.5,True,47.5,50.0,2.5,2,144.0,150.31578947368422,0.04385964912280708,True,27.5,37.5,10.0,5,176.0000038146973,180.0,0.02272725056025639,True,45.0,50.0,5.0,3,144.0,157.33333333333331,0.09259259259259246,True,27.5,42.5,15.0,7,165.17647058823488,180.0,0.08974358974359249
D50_312,basic,312,50.0,13,4.615384578704834,37.33333206176758,32.717947483062744,7.088888677667687,156.0,324.0,168.0,1.0769230769230769,120.0,300.0,32.5,32.5,50.0,50.0,32.5,50.0,17.5,True,47.5,50.0,2.5,2,156.0,159.7894736842103,0.024291497975707007,True,35.0,42.5,7.5,4,171.52941176470583,180.0,0.04938271604938305,True,42.5,50.0,7.5,4,156.0,171.52941176470583,0.09954751131221684,True,35.0,45.0,10.0,5,164.0,180.0,0.0975609756097561
D50_313,basic,313,50.0,13,3.0,48.0,45.0,15.0,168.0,383.9999999999999,215.9999999999999,1.2857142857142851,144.0,360.0,40.0,40.0,50.0,50.0,40.0,50.0,10.0,False,,,0.0,0,168.0,,,True,40.0,47.5,7.5,4,180.0,183.0,0.016666666666666666,True,40.0,50.0,10.0,5,168.0,183.0,0.08928571428571429,True,40.0,50.0,10.0,5,168.0,183.0,0.08928571428571429
D50_314,basic,314,50.0,13,0.0,48.0,48.0,,168.0,324.0,156.0,0.9285714285714286,120.0,300.0,25.0,25.0,50.0,50.0,25.0,50.0,25.0,True,45.0,50.0,5.0,3,168.0,174.66666666666666,0.039682539682539625,True,37.5,45.0,7.5,4,174.66666666666666,180.0000038146973,0.03053437298490823,True,37.5,50.0,12.5,6,168.0,180.0000038146973,0.07142859413510294,True,37.5,50.0,12.5,6,168.0,180.0000038146973,0.07142859413510294
D50_321,basic,321,50.0,13,0.0,48.0,48.0,,168.0,324.0,156.0,0.9285714285714286,120.0,300.0,25.0,25.0,50.0,50.0,25.0,50.0,25.0,True,45.0,50.0,5.0,3,168.0,174.66666666666663,0.03968253968253946,True,37.5,42.5,5.0,3,180.0,184.0,0.022222222222222223,True,37.5,50.0,12.5,6,168.0,184.0,0.09523809523809523,True,37.5,50.0,12.5,6,168.0,184.0,0.09523809523809523
D50_322,basic,322,50.0,13,3.0,40.0,37.0,12.333333333333334,180.0,384.0,204.0,1.1333333333333333,144.0,360.0,40.0,40.0,42.5,50.0,40.0,46.25,6.25,True,40.0,50.0,10.0,5,180.0,183.0,0.016666666666666666,True,40.0,50.0,10.0,5,180.0,183.0,0.016666666666666666,True,40.0,50.0,10.0,5,180.0,183.0,0.016666666666666666,True,40.0,50.0,10.0,5,180.0,183.0,0.016666666666666666
D50_323,basic,323,50.0,13,3.1578948497772217,46.90909194946289,43.75119709968567,13.854545252756646,180.0,444.0,264.0,1.4666666666666666,168.0,420.0,47.5,47.5,47.5,50.0,47.5,48.75,1.25,True,47.5,50.0,2.5,2,180.0,180.0,0.0,True,47.5,50.0,2.5,2,180.0,180.0,0.0,True,45.0,50.0,5.0,3,180.0,193.3333333333331,0.07407407407407271,True,45.0,50.0,5.0,3,180.0,193.3333333333331,0.07407407407407271
