case_index,route_id,pattern_group,pattern_id,design_speed_kmh,evaluation_speed_kmh,cycle_length_s,offset_step_s,grid_size_each_axis,number_of_offset_patterns,lambda01_design,lambda12_design,lambda23_design,L01_m,L12_m,L23_m,d_min_s_per_veh,representative_x1_s,representative_x2_s,representative_x3_s,number_of_exact_optima,number_within_0p1s,number_within_0p5s,number_within_1p0s,FTT_s_per_veh,TTT_s_per_veh,runtime_sec,hostname,delay_file,optima_file,array_definition,TTT_ratio_to_route_min,TTT_excess_pct_from_route_min
30,D10_313,basic,313,10.0,30.0,120.0,1.2,100,1000000,0.45,0.3,0.45,150.0,100.0,150.0,36.0,0.0,0.0,24.0,37911,37911,37911,37911,48.0,84.0,679.8055539131165,BuiltPC01,results\full_delay\case_0030__D10_313__v30p0_delays.npy,results\optima\case_0030__D10_313__v30p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.4583333333333375,45.83333333333375
31,D10_313,basic,313,10.0,32.5,120.0,1.2,100,1000000,0.45,0.3,0.45,150.0,100.0,150.0,32.30769348144531,0.0,0.0,28.799999237060547,11368,13170,14448,14650,44.30769230769231,76.6153846153846,681.9099688529968,BuiltPC01,results\full_delay\case_0031__D10_313__v32p5_delays.npy,results\optima\case_0031__D10_313__v32p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.3301282051282086,33.01282051282086
32,D10_313,basic,313,10.0,35.0,120.0,1.2,100,1000000,0.45,0.3,0.45,150.0,100.0,150.0,29.14285659790039,0.0,0.0,31.200000762939453,5928,5928,6622,8750,41.142857142857146,70.28571428571429,681.7067186832428,BuiltPC01,results\full_delay\case_0032__D10_313__v35p0_delays.npy,results\optima\case_0032__D10_313__v35p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.2202380952380987,22.023809523809867
33,D10_313,basic,313,10.0,37.5,120.0,1.2,100,1000000,0.45,0.3,0.45,150.0,100.0,150.0,26.399999618530277,0.0,0.0,33.599998474121094,2970,2970,2970,2970,38.4,64.80000152587891,680.4488615989685,BuiltPC01,results\full_delay\case_0033__D10_313__v37p5_delays.npy,results\optima\case_0033__D10_313__v37p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.1250000264909565,12.500002649095654
34,D10_313,basic,313,10.0,40.0,120.0,1.2,100,1000000,0.45,0.3,0.45,150.0,100.0,150.0,24.0,2.400000095367432,0.0,36.0,400,400,460,526,36.0,60.0,681.1035959720612,BuiltPC01,results\full_delay\case_0034__D10_313__v40p0_delays.npy,results\optima\case_0034__D10_313__v40p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.0416666666666696,4.166666666666963
35,D10_313,basic,313,10.0,42.5,120.0,1.2,100,1000000,0.45,0.3,0.45,150.0,100.0,150.0,26.117647171020508,1.2000000476837158,0.0,34.79999923706055,1568,1580,2640,3236,33.88235294117647,60.0,682.017550945282,BuiltPC01,results\full_delay\case_0035__D10_313__v42p5_delays.npy,results\optima\case_0035__D10_313__v42p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.0416666666666696,4.166666666666963
36,D10_313,basic,313,10.0,45.0,120.0,1.2,100,1000000,0.45,0.3,0.45,150.0,100.0,150.0,28.0,0.0,0.0,32.400001525878906,4648,4648,4648,6552,32.0,60.0,677.9491140842438,BuiltPC01,results\full_delay\case_0036__D10_313__v45p0_delays.npy,results\optima\case_0036__D10_313__v45p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.0416666666666696,4.166666666666963
37,D10_313,basic,313,10.0,47.5,120.0,1.2,100,1000000,0.45,0.3,0.45,150.0,100.0,150.0,29.6842098236084,0.0,0.0,31.200000762939453,6540,6540,8120,42903,30.31578947368421,60.0,683.1462798118591,BuiltPC01,results\full_delay\case_0037__D10_313__v47p5_delays.npy,results\optima\case_0037__D10_313__v47p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.0416666666666696,4.166666666666963
38,D10_313,basic,313,10.0,50.0,120.0,1.2,100,1000000,0.45,0.3,0.45,150.0,100.0,150.0,28.799999237060547,0.0,0.0,0.0,32163,32163,32163,32163,28.8,57.59999999999984,674.4015707969666,BuiltPC01,results\full_delay\case_0038__D10_313__v50p0_delays.npy,results\optima\case_0038__D10_313__v50p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.0,0.0
39,D10_314,basic,314,10.0,20.0,120.0,1.2,100,1000000,0.25,0.3,0.45,83.33333333333333,100.0,150.0,30.0,3.5999999046325684,33.599998474121094,49.20000076293945,550,550,550,1032,60.0,90.0,681.1647529602051,BuiltPC01,results\full_delay\case_0039__D10_314__v20p0_delays.npy,results\optima\case_0039__D10_314__v20p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.875,87.5
