scenario,link_id,slot_code,HHMM,V_base,V_scen,V_diff
no04,533967_00609_11505_0,1615,16:15,0.0,0.0,0.0
no04,533967_00609_11505_0,1630,16:30,0.0,0.0,0.0
no04,533967_00609_11505_0,1645,16:45,29.528236264603727,29.54360439690559,0.015368132301862403
no04,533967_00609_11505_0,1700,17:00,29.60503520674938,29.59572930181572,-0.00930590493366168
no04,533967_00609_11505_0,1715,17:15,29.4975,29.4975,0.0
no04,533967_00609_11505_0,1730,17:30,29.526356424638664,29.545370453650843,0.019014029012179634
no04,533967_00609_11505_0,1745,17:45,30.068419354838703,29.97326612903225,-0.09515322580645247
no04,533967_00609_11505_0,1800,18:00,29.52113136192272,29.52862237358367,0.007491011660949454
no04,533967_00609_11505_0,1815,18:15,29.853380616359445,29.733495103686632,-0.11988551267281267
no04,533967_00609_11505_0,1830,18:30,29.654975535550346,29.783577793963165,0.12860225841281903
no04,533967_00609_11505_0,1845,18:45,29.536343795109406,29.54469157135845,0.008347776249042482
no04,533967_00609_11505_1,630,06:30,29.61541707134553,29.585215620660684,-0.03020145068484581
no04,533967_00609_11505_1,645,06:45,29.614030630873764,29.57917741935484,-0.034853211518925065
no04,533967_00609_11505_1,700,07:00,29.4525,29.4525,0.0
no04,533967_00609_11505_1,715,07:15,0.0,0.0,0.0
no04,533967_00609_11505_1,730,07:30,0.0,0.0,0.0
no04,533967_00609_11505_1,745,07:45,29.94465461957376,29.916780307473992,-0.027874312099768872
no04,533967_00609_11505_1,800,08:00,29.814500969522623,29.785049473219622,-0.02945149630300037
no04,533967_00609_11505_1,815,08:15,29.51828177951412,29.5954930391025,0.07721125958838115
no04,533967_00609_11505_1,830,08:30,29.952212494419523,29.885151612176323,-0.06706088224320084
no04,533967_00609_11505_1,845,08:45,29.879915700535005,30.115396186167164,0.2354804856321593
no04,533967_00609_11505_1,900,09:00,30.165060483870967,29.99540322580645,-0.16965725806451815
no04,533967_00609_11505_1,915,09:15,29.981797721743717,30.007485076622487,0.025687354878769497
no04,533967_00609_11505_1,930,09:30,30.174935798277744,30.152620661200963,-0.0223151370767809
no04,533967_00609_11505_1,945,09:45,0.0,0.0,0.0
no04,533967_00609_11505_1,1000,10:00,29.638824121758127,29.62248764388652,-0.01633647787160797
no04,533967_00609_11505_1,1015,10:15,29.70511316224762,29.73653415536536,0.03142099311773805
no04,533967_00609_11505_1,1030,10:30,29.85794612285421,29.83929557206495,-0.018650550789256926
no04,533967_00609_11505_1,1045,10:45,30.941560596166045,30.726230145272403,-0.21533045089364222
no04,533967_00609_11505_1,1100,11:00,29.87479271357737,30.05414707565813,0.17935436208075828
no04,533967_00609_11505_1,1115,11:15,29.624654377880184,29.42692110716829,-0.19773327071189328
no04,533967_00609_11505_1,1130,11:30,29.61558864658407,29.556076093311333,-0.05951255327273586
no04,533967_00609_11505_1,1145,11:45,30.488015496177542,30.42383909837677,-0.06417639780077167
no04,533967_00609_11505_1,1200,12:00,29.879786356104653,29.89495942414093,0.01517306803627605
no04,533967_00609_11505_1,1215,12:15,29.836197456472508,29.85273460733369,0.01653715086118268
no04,533967_00609_11505_1,1230,12:30,29.683946044915984,29.66817591176221,-0.015770133153775845
no04,533967_00609_11505_1,1245,12:45,29.88175132833557,29.95041500146737,0.06866367313179822
no04,533967_00609_11505_1,1300,13:00,30.176816455397137,30.157085867924813,-0.019730587472324146
no04,533967_00609_11505_1,1315,13:15,29.776175941561952,29.75682630174463,-0.019349639817320963
