scenario,link_id,slot_code,HHMM,TTT_base,TTT_scen,TTT_diff
no02,533967_00280_13214_1,700,07:00,1415.283,1415.283,0.0
no02,533967_00280_13214_1,715,07:15,1532.1735,1532.4875,0.31399999999985084
no02,533967_00280_13214_1,730,07:30,1360.138,1356.8225,-3.315499999999929
no02,533967_00280_13214_1,745,07:45,1750.8285,1752.7310000000002,1.9025000000001455
no02,533967_00280_13214_1,800,08:00,1368.6699999999998,1366.448,-2.2219999999997526
no02,533967_00280_13214_1,815,08:15,1612.2485,1609.203,-3.0454999999999472
no02,533967_00280_13214_1,830,08:30,1503.053,1505.9725,2.919499999999971
no02,533967_00280_13214_1,845,08:45,1822.242,1823.57,1.3279999999999745
no02,533967_00280_13214_1,900,09:00,1131.0435,1132.5535,1.509999999999991
no02,533967_00280_13214_1,915,09:15,1494.568,1500.5775,6.009500000000116
no02,533967_00280_13214_1,930,09:30,1758.3825000000002,1755.1799999999998,-3.2025000000003274
no02,533967_00280_13214_1,945,09:45,1257.621,1249.578,-8.04300000000012
no02,533967_00280_13214_1,1000,10:00,1055.6055,1058.317,2.7115000000001146
no02,533967_00280_13214_1,1015,10:15,1035.857,1033.0465,-2.8105000000000473
no02,533967_00280_13214_1,1030,10:30,1019.9635,1017.5445,-2.4189999999999827
no02,533967_00280_13214_1,1045,10:45,1101.516,1098.85,-2.6660000000001673
no02,533967_00280_13214_1,1100,11:00,1197.4095,1199.95,2.5405000000000655
no02,533967_00280_13214_1,1115,11:15,1190.884,1186.9555,-3.9284999999999854
no02,533967_00280_13214_1,1130,11:30,1251.4119999999998,1252.8185,1.4065000000002783
no02,533967_00280_13214_1,1145,11:45,1138.9475,1135.3395,-3.6079999999999472
no02,533967_00280_13214_1,1200,12:00,1017.671,1023.087,5.41599999999994
no02,533967_00280_13214_1,1215,12:15,1113.261,1113.2125,-0.04849999999987631
no02,533967_00280_13214_1,1230,12:30,1248.9065,1248.0795,-0.8269999999999982
no02,533967_00280_13214_1,1245,12:45,1215.223,1216.153,0.9300000000000637
no02,533967_00280_13214_1,1300,13:00,1325.767,1326.6025,0.8354999999999109
no02,533967_00280_13214_1,1315,13:15,1218.095,1216.1465,-1.9484999999999673
no02,533967_00280_13214_1,1330,13:30,1356.514,1360.8335,4.319500000000062
no02,533967_00280_13214_1,1345,13:45,1219.227,1217.036,-2.191000000000031
no02,533967_00280_13214_1,1400,14:00,1455.6245,1452.6905,-2.933999999999969
no02,533967_00280_13214_1,1415,14:15,1706.205,1712.1765,5.9715000000001055
no02,533967_00280_13214_1,1430,14:30,1084.5695,1085.7545,1.1849999999999454
no02,533967_00280_13214_1,1445,14:45,1300.6115,1295.956,-4.655500000000075
no02,533967_00280_13214_1,1500,15:00,939.445,944.299,4.853999999999928
no02,533967_00280_13214_1,1515,15:15,1308.7745,1301.55,-7.224500000000035
no02,533967_00280_13214_1,1530,15:30,1260.7105,1268.0805,7.370000000000118
no02,533967_00280_13214_1,1545,15:45,1111.311,1104.568,-6.742999999999938
no02,533967_00280_13214_1,1600,16:00,1137.3235,1146.6255,9.302000000000135
no02,533967_00280_13214_1,1615,16:15,1198.5125,1184.4805,-14.032000000000153
no02,533967_00280_13214_1,1630,16:30,789.3405,796.9035,7.562999999999988
no02,533967_00280_13214_1,1645,16:45,1260.135,1262.084,1.9490000000000691
no02,533967_00280_13214_1,1700,17:00,982.329,978.467,-3.8619999999999663
