route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common,observed_n_speeds_in_results_final,TTT_min_in_interval,TTT_max_in_interval,TTT_range,ttt_const_threshold,ttt_const_flag,common_flag,both_flag,interval_type
322,30,30,1,147,1,1,247.9999999999998,247.9999999999998,0,0,1,1,1,both
322,32.5,32.5,1,1257,1,1,239.9999999999999,239.9999999999999,0,0,1,1,1,both
322,35,35,1,9933,1,1,231.4285714285711,231.4285714285711,0,0,1,1,1,both
322,37.5,37.5,1,819,1,1,203.9999999999998,203.9999999999998,0,0,1,1,1,both
322,40,40,1,63,1,1,182.9999999999997,182.9999999999997,0,0,1,1,1,both
322,42.5,42.5,1,2101,1,1,179.9999999999997,179.9999999999997,0,0,1,1,1,both
322,45,47.5,2,9537,1,2,180,180,0,0,1,1,1,both
322,50,50,1,41991,1,1,179.9999999999998,179.9999999999998,0,0,1,1,1,both
322,20,22.5,2,525,1,2,359.9999999999994,383.9999999999993,23.999999999999943,0,0,1,0,common_optimal
322,25,25,1,16212,1,1,323.9999999999992,323.9999999999992,0,0,1,1,1,common_optimal
322,27.5,32.5,3,63,1,3,239.9999999999999,283.6363636363637,43.63636364,0,0,1,0,common_optimal
322,35,50,7,63,1,7,179.9999999999997,231.4285714285711,51.428571428571416,0,0,1,0,common_optimal
322,20,20,1,1575,1,1,383.9999999999993,383.9999999999993,0,0,1,1,1,ttt_constant
322,22.5,22.5,1,13525,1,1,359.9999999999994,359.9999999999994,0,0,1,1,1,ttt_constant
322,25,25,1,16212,1,1,323.9999999999992,323.9999999999992,0,0,1,1,1,ttt_constant
322,27.5,27.5,1,5603,1,1,283.6363636363637,283.6363636363637,0,0,1,1,1,ttt_constant
322,30,30,1,147,1,1,247.9999999999998,247.9999999999998,0,0,1,1,1,ttt_constant
322,32.5,32.5,1,1257,1,1,239.9999999999999,239.9999999999999,0,0,1,1,1,ttt_constant
322,35,35,1,9933,1,1,231.4285714285711,231.4285714285711,0,0,1,1,1,ttt_constant
322,37.5,37.5,1,819,1,1,203.9999999999998,203.9999999999998,0,0,1,1,1,ttt_constant
322,40,40,1,63,1,1,182.9999999999997,182.9999999999997,0,0,1,1,1,ttt_constant
322,42.5,42.5,1,2101,1,1,179.9999999999997,179.9999999999997,0,0,1,1,1,ttt_constant
322,45,47.5,2,9537,1,2,180,180,0,0,1,1,1,ttt_constant
322,50,50,1,41991,1,1,179.9999999999998,179.9999999999998,0,0,1,1,1,ttt_constant
323,20,20,1,3075,1,1,443.9999999999986,443.9999999999986,0,0,1,1,1,both
323,22.5,22.5,1,5313,1,1,386.6666667,386.6666667,0,0,1,1,1,both
323,25,25,1,21871,1,1,359.9999999999998,359.9999999999998,0,0,1,1,1,both
323,27.5,27.5,1,13545,1,1,352.3636363636356,352.3636363636356,0,0,1,1,1,both
323,30,30,1,8433,1,1,323.9999999999993,323.9999999999993,0,0,1,1,1,both
323,32.5,32.5,1,9367,1,1,296.3076923076917,296.3076923076917,0,0,1,1,1,both
323,35,35,1,154,1,1,263.9999999999993,263.9999999999993,0,0,1,1,1,both
323,37.5,37.5,1,5049,1,1,251.9999999999995,251.9999999999995,0,0,1,1,1,both
323,40,40,1,36485,1,1,239.9999999999998,239.9999999999998,0,0,1,1,1,both
323,42.5,42.5,1,9675,1,1,215.2941176470586,215.2941176470586,0,0,1,1,1,both
323,45,45,1,2541,1,1,193.3333333333331,193.3333333333331,0,0,1,1,1,both
323,47.5,47.5,1,1085,1,1,179.9999999999997,179.9999999999997,0,0,1,1,1,both
323,50,50,1,7951,1,1,179.9999999999998,179.9999999999998,0,0,1,1,1,both
323,20,20,1,3075,1,1,443.9999999999986,443.9999999999986,0,0,1,1,1,common_optimal
323,22.5,25,2,4721,1,2,359.9999999999998,386.6666667,26.66666666666623,0,0,1,0,common_optimal
323,27.5,27.5,1,13545,1,1,352.3636363636356,352.3636363636356,0,0,1,1,1,common_optimal
323,30,32.5,2,2283,1,2,296.3076923076917,323.9999999999993,27.692307692307622,0,0,1,0,common_optimal
323,35,37.5,2,56,1,2,251.9999999999995,263.9999999999993,11.99999999999983,0,0,1,0,common_optimal
323,37.5,40,2,128,1,2,239.9999999999998,251.9999999999995,11.999999999999687,0,0,1,0,common_optimal
323,40,50,5,945,1,5,179.9999999999997,239.9999999999998,60.000000000000114,0,0,1,0,common_optimal
323,20,20,1,3075,1,1,443.9999999999986,443.9999999999986,0,0,1,1,1,ttt_constant
323,22.5,22.5,1,5313,1,1,386.6666667,386.6666667,0,0,1,1,1,ttt_constant
323,25,25,1,21871,1,1,359.9999999999998,359.9999999999998,0,0,1,1,1,ttt_constant
323,27.5,27.5,1,13545,1,1,352.3636363636356,352.3636363636356,0,0,1,1,1,ttt_constant
323,30,30,1,8433,1,1,323.9999999999993,323.9999999999993,0,0,1,1,1,ttt_constant
323,32.5,32.5,1,9367,1,1,296.3076923076917,296.3076923076917,0,0,1,1,1,ttt_constant
323,35,35,1,154,1,1,263.9999999999993,263.9999999999993,0,0,1,1,1,ttt_constant
323,37.5,37.5,1,5049,1,1,251.9999999999995,251.9999999999995,0,0,1,1,1,ttt_constant
323,40,40,1,36485,1,1,239.9999999999998,239.9999999999998,0,0,1,1,1,ttt_constant
323,42.5,42.5,1,9675,1,1,215.2941176470586,215.2941176470586,0,0,1,1,1,ttt_constant
323,45,45,1,2541,1,1,193.3333333333331,193.3333333333331,0,0,1,1,1,ttt_constant
323,47.5,47.5,1,1085,1,1,179.9999999999997,179.9999999999997,0,0,1,1,1,ttt_constant
323,50,50,1,7951,1,1,179.9999999999998,179.9999999999998,0,0,1,1,1,ttt_constant
324,20,20,1,3075,1,1,323.9999999999992,323.9999999999992,0,0,1,1,1,both
324,22.5,22.5,1,12243,1,1,293.3333333,293.3333333,0,0,1,1,1,both
324,25,25,1,4851,1,1,240,240,0,0,1,1,1,both
324,27.5,27.5,1,2709,1,1,239.9999999999999,239.9999999999999,0,0,1,1,1,both
324,30,30,1,16461,1,1,227.9999999999997,227.9999999999997,0,0,1,1,1,both
324,32.5,32.5,1,8788,1,1,208.6153846153843,208.6153846153843,0,0,1,1,1,both
324,35,35,1,11424,1,1,195.4285714,195.4285714,0,0,1,1,1,both
324,37.5,37.5,1,30889,1,1,183.9999999999995,183.9999999999995,0,0,1,1,1,both
324,40,40,1,19845,1,1,180,180,0,0,1,1,1,both
324,42.5,42.5,1,9145,1,1,179.9999999999998,179.9999999999998,0,0,1,1,1,both
324,45,45,1,735,1,1,174.6666666666665,174.6666666666665,0,0,1,1,1,both
324,47.5,47.5,1,12475,1,1,171.1578947368414,171.1578947368414,0,0,1,1,1,both
324,50,50,1,451,1,1,167.9999999999995,167.9999999999995,0,0,1,1,1,both
324,20,20,1,3075,1,1,323.9999999999992,323.9999999999992,0,0,1,1,1,common_optimal
324,22.5,25,2,3641,1,2,240,293.3333333,53.33333333333297,0,0,1,0,common_optimal
324,27.5,30,2,1953,1,2,227.9999999999997,239.9999999999999,12.000000000000199,0,0,1,0,common_optimal
324,32.5,35,2,5304,1,2,195.4285714,208.6153846153843,13.18681318681331,0,0,1,0,common_optimal
324,37.5,47.5,5,483,1,5,171.1578947368414,183.9999999999995,12.84210526315809,0,0,1,0,common_optimal
324,50,50,1,451,1,1,167.9999999999995,167.9999999999995,0,0,1,1,1,common_optimal
324,20,20,1,3075,1,1,323.9999999999992,323.9999999999992,0,0,1,1,1,ttt_constant
324,22.5,22.5,1,12243,1,1,293.3333333,293.3333333,0,0,1,1,1,ttt_constant
324,25,25,1,4851,1,1,240,240,0,0,1,1,1,ttt_constant
324,27.5,27.5,1,2709,1,1,239.9999999999999,239.9999999999999,0,0,1,1,1,ttt_constant
324,30,30,1,16461,1,1,227.9999999999997,227.9999999999997,0,0,1,1,1,ttt_constant
324,32.5,32.5,1,8788,1,1,208.6153846153843,208.6153846153843,0,0,1,1,1,ttt_constant
324,35,35,1,11424,1,1,195.4285714,195.4285714,0,0,1,1,1,ttt_constant
324,37.5,37.5,1,30889,1,1,183.9999999999995,183.9999999999995,0,0,1,1,1,ttt_constant
324,40,40,1,19845,1,1,180,180,0,0,1,1,1,ttt_constant
324,42.5,42.5,1,9145,1,1,179.9999999999998,179.9999999999998,0,0,1,1,1,ttt_constant
324,45,45,1,735,1,1,174.6666666666665,174.6666666666665,0,0,1,1,1,ttt_constant
324,47.5,47.5,1,12475,1,1,171.1578947368414,171.1578947368414,0,0,1,1,1,ttt_constant
324,50,50,1,451,1,1,167.9999999999995,167.9999999999995,0,0,1,1,1,ttt_constant
331,20,20,1,23125,1,1,257.9999999999994,257.9999999999994,0,0,1,1,1,both
331,22.5,22.5,1,15521,1,1,219.9999999999993,219.9999999999993,0,0,1,1,1,both
331,25,30,3,231,1,3,180,180,0,0,1,1,1,both
331,32.5,32.5,1,1833,1,1,176.3076923,176.3076923,0,0,1,1,1,both
331,35,35,1,7011,1,1,169.7142857142854,169.7142857142854,0,0,1,1,1,both
331,37.5,37.5,1,11063,1,1,163.9999999999996,163.9999999999996,0,0,1,1,1,both
331,40,40,1,15147,1,1,158.9999999999997,158.9999999999997,0,0,1,1,1,both
331,42.5,42.5,1,18879,1,1,154.5882352941171,154.5882352941171,0,0,1,1,1,both
331,45,45,1,21875,1,1,150.6666666666664,150.6666666666664,0,0,1,1,1,both
331,47.5,47.5,1,330,1,1,141.4736842,141.4736842,0,0,1,1,1,both
331,50,50,1,2,1,1,132,132,0,0,1,1,1,both
331,20,20,1,23125,1,1,257.9999999999994,257.9999999999994,0,0,1,1,1,common_optimal
331,22.5,30,4,231,1,4,180,219.9999999999993,39.99999999999929,0,0,1,0,common_optimal
