x1_s,x2_s,delay_s_per_veh
4.8,2.4,63.6
4.8,3.5999999999999996,62.4
4.8,4.8,61.2
4.8,6.0,60.0
4.8,7.199999999999999,60.0
4.8,8.4,60.0
4.8,9.6,60.0
4.8,10.799999999999999,60.0
4.8,12.0,60.0
4.8,13.2,60.0
4.8,14.399999999999999,60.0
4.8,15.6,60.0
4.8,16.8,60.0
4.8,18.0,60.0
4.8,19.2,60.0
4.8,20.4,60.0
4.8,21.599999999999998,60.0
4.8,22.8,60.0
4.8,24.0,60.0
4.8,25.2,60.0
4.8,26.4,60.0
4.8,27.599999999999998,60.0
4.8,28.799999999999997,60.0
4.8,30.0,60.0
4.8,31.2,60.0
4.8,32.4,60.0
4.8,33.6,60.0
4.8,34.8,60.0
4.8,36.0,60.0
4.8,37.199999999999996,60.0
4.8,38.4,60.0
4.8,39.6,60.0
4.8,40.8,60.0
4.8,42.0,58.8
4.8,43.199999999999996,57.6
4.8,44.4,56.4
4.8,45.6,55.2
4.8,46.8,54.0
4.8,48.0,52.8
4.8,49.199999999999996,52.8
4.8,50.4,52.8
4.8,51.6,52.8
4.8,52.8,52.8
4.8,54.0,54.0
4.8,55.199999999999996,55.2
4.8,56.4,56.4
4.8,57.599999999999994,57.6
4.8,58.8,58.8
4.8,60.0,60.0
4.8,61.199999999999996,61.2
4.8,62.4,62.4
4.8,63.599999999999994,63.6
4.8,64.8,64.8
4.8,66.0,66.0
4.8,67.2,67.2
4.8,68.39999999999999,68.4
4.8,69.6,69.6
4.8,70.8,70.8
4.8,72.0,72.0
4.8,73.2,72.0
4.8,74.39999999999999,72.0
4.8,75.6,72.0
4.8,76.8,72.0
4.8,78.0,70.8
4.8,79.2,69.6
4.8,80.39999999999999,68.4
4.8,81.6,67.2
4.8,82.8,66.0
4.8,84.0,64.8
4.8,85.2,63.6
4.8,86.39999999999999,62.4
4.8,87.6,61.2
4.8,88.8,60.0
4.8,90.0,60.0
4.8,91.2,61.2
4.8,92.39999999999999,62.4
4.8,93.6,63.6
4.8,94.8,64.8
4.8,96.0,66.0
4.8,97.2,67.2
4.8,98.39999999999999,68.4
4.8,99.6,69.6
4.8,100.8,70.8
4.8,102.0,72.0
4.8,103.2,72.0
4.8,104.39999999999999,72.0
4.8,105.6,72.0
4.8,106.8,72.0
4.8,108.0,72.0
4.8,109.2,72.0
4.8,110.39999999999999,72.0
4.8,111.6,72.0
4.8,112.8,72.0
4.8,114.0,72.0
4.8,115.19999999999999,70.8
4.8,116.39999999999999,69.6
4.8,117.6,68.4
4.8,118.8,67.2
6.0,0.0,66.0
6.0,1.2,64.8
6.0,2.4,63.6
6.0,3.5999999999999996,62.4
6.0,4.8,61.2
6.0,6.0,60.0
6.0,7.199999999999999,60.0
6.0,8.4,60.0
6.0,9.6,60.0
6.0,10.799999999999999,60.0
6.0,12.0,60.0
6.0,13.2,60.0
6.0,14.399999999999999,60.0
6.0,15.6,60.0
6.0,16.8,60.0
6.0,18.0,60.0
6.0,19.2,60.0
6.0,20.4,60.0
6.0,21.599999999999998,60.0
6.0,22.8,60.0
6.0,24.0,60.0
6.0,25.2,60.0
6.0,26.4,60.0
6.0,27.599999999999998,60.0
6.0,28.799999999999997,60.0
6.0,30.0,60.0
6.0,31.2,60.0
6.0,32.4,60.0
6.0,33.6,60.0
6.0,34.8,60.0
6.0,36.0,60.0
6.0,37.199999999999996,60.0
6.0,38.4,60.0
6.0,39.6,60.0
6.0,40.8,60.0
6.0,42.0,60.0
6.0,43.199999999999996,58.8
6.0,44.4,57.6
6.0,45.6,56.4
6.0,46.8,55.2
6.0,48.0,54.0
6.0,49.199999999999996,54.0
6.0,50.4,54.0
6.0,51.6,54.0
6.0,52.8,54.0
6.0,54.0,54.0
6.0,55.199999999999996,55.2
6.0,56.4,56.4
6.0,57.599999999999994,57.6
6.0,58.8,58.8
6.0,60.0,60.0
6.0,61.199999999999996,61.2
6.0,62.4,62.4
6.0,63.599999999999994,63.6
6.0,64.8,64.8
6.0,66.0,66.0
6.0,67.2,67.2
6.0,68.39999999999999,68.4
6.0,69.6,69.6
6.0,70.8,70.8
6.0,72.0,72.0
6.0,73.2,72.0
6.0,74.39999999999999,72.0
6.0,75.6,72.0
6.0,76.8,72.0
6.0,78.0,72.0
6.0,79.2,70.8
6.0,80.39999999999999,69.6
6.0,81.6,68.4
6.0,82.8,67.2
6.0,84.0,66.0
6.0,85.2,64.8
6.0,86.39999999999999,63.6
6.0,87.6,62.4
6.0,88.8,61.2
6.0,90.0,60.0
6.0,91.2,61.2
6.0,92.39999999999999,62.4
6.0,93.6,63.6
6.0,94.8,64.8
6.0,96.0,66.0
6.0,97.2,67.2
6.0,98.39999999999999,68.4
6.0,99.6,69.6
6.0,100.8,70.8
6.0,102.0,72.0
6.0,103.2,72.0
6.0,104.39999999999999,72.0
6.0,105.6,72.0
6.0,106.8,72.0
6.0,108.0,72.0
6.0,109.2,72.0
6.0,110.39999999999999,72.0
6.0,111.6,72.0
6.0,112.8,72.0
6.0,114.0,72.0
6.0,115.19999999999999,70.8
6.0,116.39999999999999,69.6
6.0,117.6,68.4
6.0,118.8,67.2
7.199999999999999,0.0,66.0
7.199999999999999,1.2,64.8
7.199999999999999,2.4,63.6
7.199999999999999,3.5999999999999996,62.4
7.199999999999999,4.8,61.2
7.199999999999999,6.0,60.0
7.199999999999999,7.199999999999999,60.0
7.199999999999999,8.4,60.0
7.199999999999999,9.6,60.0
7.199999999999999,10.799999999999999,60.0
7.199999999999999,12.0,60.0
7.199999999999999,13.2,60.0
7.199999999999999,14.399999999999999,60.0
7.199999999999999,15.6,60.0
7.199999999999999,16.8,60.0
7.199999999999999,18.0,60.0
7.199999999999999,19.2,60.0
7.199999999999999,20.4,60.0
7.199999999999999,21.599999999999998,60.0
7.199999999999999,22.8,60.0
7.199999999999999,24.0,60.0
7.199999999999999,25.2,60.0
7.199999999999999,26.4,60.0
7.199999999999999,27.599999999999998,60.0
7.199999999999999,28.799999999999997,60.0
7.199999999999999,30.0,60.0
7.199999999999999,31.2,60.0
7.199999999999999,32.4,60.0
7.199999999999999,33.6,60.0
7.199999999999999,34.8,60.0
7.199999999999999,36.0,60.0
7.199999999999999,37.199999999999996,60.0
7.199999999999999,38.4,60.0
7.199999999999999,39.6,60.0
7.199999999999999,40.8,60.0
7.199999999999999,42.0,60.0
7.199999999999999,43.199999999999996,60.0
