路線番号,系統速度,"link(0,1)","link(1,2)","link(2,3)","link(0,2)","link(1,3)","link(0,3)","Λ(0,1)","Λ(1,2)","Λ(2,3)","Λ(0,2)","Λ(1,3)","Λ(0,3)",d01,d12,d23,d02,d13,d03,S(Λ),S(Λclose),S(Λfar),x0opt,x1opt,x2opt,x3opt,d0opt(s/veh),d1opt(s/veh),d2opt(s/veh),d3opt(s/veh),dopt(s/veh),FTT(s/veh),TTT(s/veh),Nveh_total_eval,d0_F(s/veh),d1_F(s/veh),d2_F(s/veh),d3_F(s/veh),d0_B(s/veh),d1_B(s/veh),d2_B(s/veh),d3_B(s/veh),dist_km,dopt_sec_per_km,dopt_min_per_km
311,25.0,416.666666666664,500.0,416.666666666667,916.666666666664,916.666666666667,1333.33333333333,0.4999999999999968,0.6,0.5000000000000004,1.0999999999999968,1.1000000000000003,1.599999999999997,0.0,0.0,0.0,0.0,0.05000000000000031,0.09999999999999698,0.09999999999999698,0.0,0.11180339887498693,0,48.0,12.0,72.0,2.399999999997656,9.59999999999992,-2.384897217982345e-12,0.0,11.99999999999486,191.9999999999997,203.9999999999945,180,0,0.0,-4.76979443596469e-12,0.0,4.799999999995311,19.19999999999984,0.0,0,1.3333333333333302,8.999999999996167,0.1499999999999361
311,22.5,416.666666666663,500.0,416.666666666667,916.666666666663,916.666666666667,1333.33333333333,0.5555555555555507,0.6666666666666666,0.555555555555556,1.2222222222222172,1.2222222222222225,1.777777777777773,0.005555555555550651,0.016666666666666607,0.0,0.12222222222221721,0.17222222222222255,0.22222222222222698,0.22229165581936638,0.017568209223156057,0.3065639924738104,0,55.2,3.6,93.6,5.306666666667136,17.42666666666668,3.8,0.133333333333495,26.66666666666717,213.3333333333328,240.0,180,0,0.0,0.0,0.26666666666699,10.61333333333427,34.85333333333337,7.6,0,1.3333333333333302,20.000000000000423,0.33333333333334036
311,20.0,416.666666666663,500.0,416.666666666667,916.666666666663,916.666666666667,1333.33333333333,0.6249999999999946,0.75,0.6250000000000006,1.3749999999999947,1.3750000000000004,1.999999999999995,0.07499999999999452,0.09999999999999998,0.025000000000000577,0.02500000000000535,0.07499999999999957,5.10702591327572e-15,0.07499999999999452,0.1274754878398165,0.07905694150421076,0,44.4,63.59999999999999,0.0,-4.52726251549191e-12,7.439999999999741,9.899999999999919,6.659999999999086,23.9999999999941,239.9999999999994,263.9999999999935,180,0,14.87999999999948,19.79999999999984,13.31999999999817,-9.054525030983819e-12,0.0,0.0,0,1.3333333333333302,17.999999999995616,0.29999999999992694
312,50.0,583.3333333333334,500.0,583.3333333333334,1083.3333333333335,1083.3333333333335,1666.666666666667,0.35,0.3,0.35,0.65,0.65,1.0,0.10000000000000003,0.04999999999999999,0.050000000000000044,0.050000000000000044,0.09999999999999998,0.0,0.10000000000000003,0.12247448713915894,0.11180339887498948,0,56.4,43.2,110.4,5.879999999999927,11.52000000000003,12.96000000000006,5.63999999999962,35.99999999999959,120.0,155.9999999999996,180,0,14.4,15.12000000000011,11.27999999999924,11.75999999999985,8.640000000000065,10.8,0,1.666666666666667,21.59999999999975,0.3599999999999958
312,47.5,583.3333333333334,500.0,583.3333333333334,1083.3333333333335,1083.3333333333335,1666.666666666667,0.368421052631579,0.3157894736842106,0.368421052631579,0.6842105263157896,0.6842105263157896,1.052631578947369,0.08157894736842103,0.03421052631578936,0.03157894736842104,0.08421052631578962,0.13421052631578956,0.05263157894736903,0.09708350918787777,0.09392930682934071,0.166954967637494,0,45.6,46.8,116.4,11.80421052631557,11.53263157894738,6.903157894736837,3.233684210526392,33.47368421052585,126.3157894736842,159.7894736842101,180,0,1.389473684210518,7.616842105263156,6.467368421052783,23.60842105263113,21.67578947368424,6.189473684210518,0,1.666666666666667,20.08421052631551,0.3347368421052585
312,45.0,583.3333333333334,500.0,583.3333333333334,1083.3333333333335,1083.3333333333335,1666.666666666667,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.7222222222222223,0.7222222222222223,1.111111111111111,0.061111111111111116,0.016666666666666663,0.011111111111111127,0.12222222222222234,0.17222222222222228,0.11111111111111094,0.1268079134501479,0.06431020501550126,0.2386303510546059,0,51.6,64.8,16.8,8.986666666666618,18.94666666666672,1.50666666666661,1.226666666666683,30.66666666666622,133.3333333333333,163.9999999999995,180,0,4.933333333333334,1.679999999999968,2.453333333333366,17.97333333333324,32.9600000000001,1.333333333333252,0,1.666666666666667,18.39999999999973,0.30666666666666215
312,42.5,583.3333333333334,500.0,583.3333333333334,1083.3333333333335,1083.3333333333335,1666.666666666667,0.4117647058823529,0.3529411764705882,0.4117647058823529,0.7647058823529412,0.7647058823529412,1.176470588235294,0.03823529411764709,0.0,0.0,0.1352941176470588,0.18529411764705872,0.17647058823529393,0.18056524091965662,0.03823529411764709,0.28944822821466515,0,55.2,67.2,20.4,6.190588235294166,20.88000000000005,1.9058823529411,1.376470588235437,30.35294117647028,141.1764705882353,171.5294117647056,180,0,5.788235294117637,3.811764705882201,2.752941176470874,12.38117647058833,35.97176470588246,0.0,0,1.666666666666667,18.211764705882164,0.3035294117647027
312,40.0,583.3333333333334,500.0,583.3333333333334,1083.3333333333335,1083.3333333333335,1666.666666666667,0.4375000000000001,0.375,0.4375000000000001,0.8125000000000001,0.8125000000000001,1.25,0.0124999999999999,0.0,0.0,0.08749999999999991,0.13749999999999984,0.25,0.25031230493125983,0.0124999999999999,0.29843340965783294,0,40.8,0.0,52.8,11.25,0.0,18.6,0.15,30.0,150.0,180.0,180,0,0.0,22.5,0.3,22.5,0.0,14.7,0,1.666666666666667,17.999999999999996,0.29999999999999993
312,37.5,583.3333333333334,500.0,583.3333333333334,1083.3333333333335,1083.3333333333335,1666.666666666667,0.4666666666666667,0.4,0.4666666666666667,0.8666666666666668,0.8666666666666668,1.333333333333333,0.0,0.0,0.0,0.033333333333333215,0.08333333333333315,0.16666666666666696,0.16666666666666696,0.0,0.18929694486000928,0,44.4,0.0,56.4,8.0,0.0,11.80000000000008,0.2,20.0,160.0,180.0,180,0,0.0,16.0,0.4,16.0,0.0,7.600000000000161,0,1.666666666666667,11.999999999999998,0.19999999999999998
312,35.0,583.3333333333334,500.0,583.3333333333334,1083.3333333333335,1083.3333333333335,1666.666666666667,0.5,0.4285714285714285,0.5,0.9285714285714286,0.9285714285714286,1.428571428571429,0.0,0.0,0.0,0.0,0.021428571428571352,0.07142857142857095,0.07142857142857095,0.0,0.07457361792078916,0,48.0,4.8,64.8,1.885714285714332,0.0,6.68571428571417,0.0,8.571428571428385,171.4285714285714,179.9999999999998,180,0,0.0,13.37142857142834,0.0,3.771428571428664,0.0,0.0,0,1.666666666666667,5.1428571428570296,0.08571428571428383
