路線番号,系統速度,dist_km,dopt(s/veh),dopt_sec_per_km,dopt_min_per_km,S(Λ),S(Λclose),S(Λfar)
333,40.0,0.9583333333333334,35.24999999999992,36.782608695652094,0.6130434782608682,0.2762754513162543,0.20643930706142183,0.2191068517869763
333,37.5,0.9583333333333334,31.99999999999972,33.391304347825795,0.5565217391304299,0.27738861628488737,0.18104634152000365,0.2333333333333334
333,35.0,0.9583333333333334,28.28571428571396,29.51552795031022,0.49192546583850366,0.22004174001070526,0.15336364681131356,0.1785714285714286
333,32.5,0.9583333333333334,23.99999999999973,25.043478260869282,0.41739130434782135,0.1552341236200811,0.12439201252920172,0.1153846153846152
333,30.0,0.9583333333333334,18.99999999999967,19.826086956521394,0.3304347826086899,0.08579691784155832,0.09824855102126329,0.05335936864527364
333,27.5,0.9583333333333334,15.27272727272705,15.936758893280398,0.26561264822133995,0.061152836577608234,0.08743356391668794,0.10414944761263309
333,25.0,0.9583333333333334,17.99999999999993,18.782608695652097,0.3130434782608683,0.1499999999999999,0.09999999999999998,0.23452078799117138
333,22.5,0.9583333333333334,26.66666666666637,27.82608695652143,0.46376811594202383,0.2222222222222221,0.07222222222222219,0.30656399247380867
333,20.0,0.9583333333333334,10.4999999999998,10.956521739130224,0.1826086956521704,0.0637377439199098,0.0395284707521046,0.10077822185373173
334,50.0,0.7916666666666667,32.99999999999959,41.68421052631526,0.6947368421052543,0.07905694150420949,0.1457737973711325,0.18200274723201298
334,47.5,0.7916666666666667,32.84210526315764,41.48476454293596,0.691412742382266,0.0815789473684211,0.15931379860700332,0.1593137986070032
334,45.0,0.7916666666666667,32.66666666666618,41.263157894736224,0.6877192982456037,0.0931280811902234,0.17435949807194684,0.13944333775567927
334,42.5,0.7916666666666667,32.47058823529394,41.01547987616076,0.683591331269346,0.11349283165632201,0.16650799829080193,0.12701660518640692
334,40.0,0.7916666666666667,35.24999999999979,44.52631578947341,0.7421052631578902,0.14169730060943292,0.15946688527716343,0.12884705080055192
334,37.5,0.7916666666666667,39.99999999999979,50.52631578947341,0.8421052631578901,0.17716909687891083,0.15456030825826178,0.14907119849998593
334,35.0,0.7916666666666667,38.57142857142839,48.721804511277966,0.8120300751879661,0.22004174001070526,0.15336364681131356,0.1836422876026063
334,32.5,0.7916666666666667,32.30769230769229,40.80971659919026,0.6801619433198377,0.27111974690118634,0.15792665513575235,0.23128148274419866
334,30.0,0.7916666666666667,28.99999999999972,36.63157894736806,0.6105263157894677,0.2616719744684596,0.17057907908715594,0.2109831483528693
334,27.5,0.7916666666666667,31.63636363636343,39.96172248803801,0.6660287081339669,0.22365299272986439,0.19338224896529682,0.16141164458695179
334,25.0,0.7916666666666667,41.99999999999972,53.052631578947015,0.8842105263157836,0.20615528128088306,0.22360679774997896,0.15811388300841892
334,22.5,0.7916666666666667,47.9999999999997,60.63157894736804,1.0105263157894673,0.18096108305447048,0.18675262571079565,0.18096108305447045
334,20.0,0.7916666666666667,37.4999999999996,47.36842105263107,0.7894736842105179,0.23251344047172837,0.14252192813739212,0.20348525745124632
